subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
5,passive,29,585,model0,4,-908.966,-219.858,1,81,682,165,0.917452,-0.0795283,,,,,
5,passive,29,585,model2B,0,-892.156,-228.762,0,1200,689,158,-1.97885,0.706819,1.95837,-0.0965648,0.875493,0.0416107,
5,passive,29,585,model2B,1,-894.282,-225.78,0,1200,679,168,-4.33355,0.479305,3.80907,-0.16049,0.888979,0.0635426,
5,passive,29,585,model2B,2,-900.21,-220.571,0,1200,668,179,0.121905,0.530167,0.802021,-0.175936,0.91476,0.05627,
5,passive,29,585,model2B,3,-889.013,-231.26,0,1200,670,177,-2.22631,0.789745,2.58512,-0.167968,0.900827,0.0454151,
5,passive,29,585,model2B,4,-902.232,-218.529,0,1200,682,165,-2.88767,0.170779,1.96988,-0.308102,0.885755,0.0868422,
5,passive,29,585,model3,0,-892.763,-228.899,0,1400,689,158,-33.7309,0.0818628,-0.335626,-3.87577,4.36141,0.0557211,0.881913
5,passive,29,585,model3,1,-894.123,-226.17,0,1400,679,168,-32.6925,1.6476,-0.339117,-11.5648,12.2966,0.0764865,0.903516
5,passive,29,585,model3,2,-900.581,-220.474,0,1400,668,179,-4.11962,1.65576,-0.305706,-1.66687,2.13029,0.163082,0.931598
5,passive,29,585,model3,3,-889.601,-231.961,0,1400,670,177,-31.2588,0.0985883,-0.341214,-2.06678,2.476,0.0470779,0.911242
5,passive,29,585,model3,4,-903.188,-217.173,0,1400,682,165,-8.8633,1.12139,-0.286304,0.957237,-3.56789,-0.0805391,0.908233
5,passive,30,615,model0,0,-876.93,-234.688,1,103,689,158,0.863998,-0.114706,,,,,
5,passive,30,615,model0,1,-900.582,-209.913,1,88,679,168,0.911545,-0.0768384,,,,,
5,passive,30,615,model0,2,-884.613,-225.766,1,295,668,179,0.909648,-0.10767,,,,,
5,passive,30,615,model0,3,-876.062,-234.175,1,74,670,177,0.894618,-0.0809811,,,,,
5,passive,30,615,model0,4,-900.559,-209.661,1,79,682,165,0.906219,-0.0912532,,,,,
5,passive,30,615,model2B,0,-872.243,-234.574,0,1200,689,158,-4.92305,0.408428,2.74409,0.205752,0.882261,-0.00545813,
