variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,2,465,model3,3,-1186.2392,-299.48509,0,1400,0,-1186.2336,-299.49724,1,9468,0,171
active,2,465,model3,4,-1151.3006,-336.17346,0,1400,0,-1151.2085,-335.9637,0,14000,0,184
active,2,495,model2B,0,-1142.1569,-315.60516,0,1200,0,-1142.0896,-315.52861,1,1602,0,179
active,2,495,model2B,1,-1185.6947,-271.32057,0,1200,0,-1185.6947,-271.31914,1,204,0,167
active,2,495,model2B,2,-1193.1393,-264.78746,1,886,0,-1193.1339,-264.80724,1,516,0,167
active,2,495,model2B,3,-1153.8841,-303.90796,0,1200,0,-1153.8781,-303.8624,1,655,0,171
active,2,495,model2B,4,-1146.9956,-310.5732,0,1200,0,-1146.9956,-310.57056,1,214,0,184
active,2,495,model3,0,-1141.4797,-314.61714,0,1400,0,-1141.4797,-314.61773,1,208,0,179
active,2,495,model3,1,-1184.2253,-271.11775,0,1400,0,-1184.2253,-271.11812,1,263,0,167
active,2,495,model3,2,-1191.9899,-264.27649,1,1342,0,-1191.9899,-264.2765,1,273,0,167
active,2,495,model3,3,-1152.8752,-303.61584,0,1400,0,-1152.8726,-303.65115,0,14000,0,171
active,2,495,model3,4,-1145.7452,-309.46577,0,1400,0,-1145.745,-309.46486,1,981,0,184
active,3,255,model2B,0,-1098.3938,-280.19514,0,1200,0,-1098.3938,-280.19572,1,200,0,181
active,3,255,model2B,1,-1083.4262,-295.86847,0,1200,0,-1082.2836,-295.42166,1,832,0,183
active,3,255,model2B,2,-1093.2157,-283.98997,1,962,0,-1093.2143,-284.00815,1,241,0,186
active,3,255,model2B,3,-1129.4015,-248.56528,0,1200,0,-1128.9104,-249.07653,1,281,0,180
active,3,255,model2B,4,-1100.423,-277.15213,1,1137,0,-1100.423,-277.1519,1,180,0,180
active,3,255,model3,0,-1098.1382,-281.71677,1,1226,0,-1098.1376,-281.71846,1,12692,0,181
active,3,255,model3,1,-1083.3314,-295.32555,0,1400,0,-1083.3314,-295.32645,1,221,0,183
active,3,255,model3,2,-1093.646,-283.88609,0,1400,0,-1093.5732,-283.95756,1,1708,0,186
active,3,255,model3,3,-1129.4187,-249.2048,0,1400,0,-1129.1273,-249.20797,1,1558,0,180
active,3,255,model3,4,-1101.7465,-276.83686,1,1130,0,-1101.0099,-276.67344,1,5039,0,180
active,3,285,model2B,0,-1107.8432,-280.11654,1,1135,0,-1107.8432,-280.11648,1,192,0,181
active,3,285,model2B,1,-1084.3429,-303.39019,1,1194,0,-1084.3429,-303.38982,1,200,0,183
active,3,285,model2B,2,-1102.4879,-284.25016,1,1165,0,-1102.4879,-284.25016,1,183,0,186
active,3,285,model2B,3,-1129.307,-257.66177,1,934,0,-1129.307,-257.66196,1,179,0,180
active,3,285,model2B,4,-1117.4268,-268.99775,0,1200,0,-1117.4256,-269.02278,1,196,0,180
active,3,285,model3,0,-1105.7048,-283.59308,0,1400,0,-1105.7048,-283.59325,1,264,0,181
active,3,285,model3,1,-1084.1589,-303.11927,1,1078,0,-1083.9872,-303.24674,0,14000,0,183
