subject,window,t_ms,model0,model2B,model3
4,17,225,-214.529,-211.903,-212.553
4,18,255,-213.244,-211.35,-210.922
4,19,285,-216.764,-215.068,-214.11
4,20,315,-212.486,-210.285,-210.071
4,21,345,-212.921,-210.949,-211.221
4,22,375,-218.176,-216.507,-216.567
4,23,405,-208.223,-207.245,-207.271
4,24,435,-210.159,-209.236,-209.019
4,25,465,-223.948,-222.173,-222.536
4,26,495,-235.829,-233.032,-231.655
4,27,525,-244.132,-239.494,-239.331
4,28,555,-253.091,-247.354,-247.675
4,29,585,-254.718,-248.938,-249.174
4,30,615,-255.064,-248.434,-248.556
4,31,645,-270.052,-260.206,-260.856
4,32,675,-284.998,-274.13,-274.713
4,33,705,-273.15,-262.163,-262.309
4,34,735,-272.505,-261.76,-262.114
4,35,765,-270.963,-259.325,-259.321
4,36,795,-273.728,-264.434,-264.025
4,37,825,-265.072,-258.313,-258.797
4,38,855,-266.431,-261.647,-261.574
4,39,885,-258.41,-253.847,-253.712
4,40,915,-240.507,-238.152,-238.28
4,41,945,-222.886,-221.989,-221.826
4,42,975,-227.38,-226.841,-227.045
4,43,1005,-226.454,-226.257,-226.756
4,44,1035,-209.714,-209.415,-209.276
4,45,1065,-195.82,-195.775,-195.622
4,46,1095,-200.327,-199.914,-200.116
4,47,1125,-185.768,-185.586,-185.572
4,48,1155,-169.762,-170.329,-169.942
4,49,1185,-159.426,-159.737,-159.726
4,50,1215,-160.206,-159.945,-159.511
4,51,1245,-166.854,-167.425,-166.484
4,52,1275,-179.34,-179.409,-179.077
5,0,-285,-104.306,-104.498,-104.123
5,1,-255,-104.496,-104.778,-104.393
5,2,-225,-89.7074,-89.6803,-89.7623
5,3,-195,-102.472,-102.763,-102.563
5,4,-165,-109.63,-109.7,-109.913
5,5,-135,-113.115,-113.757,-113.704
5,6,-105,-123.558,-124.433,-123.265
5,7,-75,-144.841,-144.478,-143.789
5,8,-45,-141.748,-141.223,-141.186
5,9,-15,-134.071,-134.419,-133.352
5,10,15,-156.444,-156.569,-156.304
5,11,45,-161.275,-161.203,-161.333
5,12,75,-177.299,-176.746,-176.685
5,13,105,-186.296,-185.787,-186.184
5,14,135,-183.542,-182.623,-182.962
5,15,165,-210.881,-209.05,-209.543
5,16,195,-227.234,-223.735,-223.719
5,17,225,-252.613,-245.72,-246.216
5,18,255,-282.516,-271.944,-271.729
5,19,285,-300.197,-286.879,-286.344
5,20,315,-302.539,-289.577,-289.236
5,21,345,-292.649,-281.124,-281.905
5,22,375,-281.826,-271.218,-272.056
5,23,405,-288.415,-277.738,-278.309
5,24,435,-303.46,-290.864,-291.406
5,25,465,-312.987,-300.813,-300.45
5,26,495,-308.772,-300.16,-299.776
5,27,525,-285.096,-280.03,-279.857
5,28,555,-265.975,-262.145,-262.98
5,29,585,-257.337,-253.363,-254.424
5,30,615,-249.933,-245.755,-245.848
5,31,645,-253.353,-250.125,-250.394
5,32,675,-246.666,-242.785,-243.217
5,33,705,-243.561,-238.05,-238.432
5,34,735,-255.122,-248.577,-248.23
5,35,765,-260.265,-254.149,-254.305
5,36,795,-244.325,-240.191,-241.015
5,37,825,-227.124,-225.15,-224.168
5,38,855,-237.622,-236.124,-234.511
5,39,885,-235.059,-233.852,-233.186
5,40,915,-207.721,-207.094,-206.908
5,41,945,-203.324,-203.377,-203.75
5,42,975,-207.075,-207.342,-206.114
5,43,1005,-207.424,-207.621,-205.923
5,44,1035,-210.438,-210.056,-209.904
5,45,1065,-211.185,-210.601,-210.386
5,46,1095,-192.791,-192.481,-191.899
5,47,1125,-181.447,-181.554,-181.182
5,48,1155,-182.198,-182.278,-181.566
5,49,1185,-180.297,-180.119,-178.643
5,50,1215,-176.034,-175.993,-175.647
5,51,1245,-176.348,-176.301,-176.596
5,52,1275,-173.305,-173.466,-173.365
6,0,-285,-108.253,-108.925,-109.219
6,1,-255,-122.361,-122.916,-122.593
6,2,-225,-123.077,-123.413,-123.231
6,3,-195,-121.984,-122.2,-122.103
6,4,-165,-128.079,-127.947,-128.252
6,5,-135,-130.797,-131.085,-130.834
6,6,-105,-131.351,-131.407,-131.684
6,7,-75,-123.006,-123.192,-123.804
6,8,-45,-123.503,-123.391,-123.71
6,9,-15,-135.98,-136.25,-136.645
6,10,15,-151.575,-151.705,-151.467
6,11,45,-162.631,-162.519,-163.3
6,12,75,-174.299,-174.597,-173.799
6,13,105,-162.456,-162.467,-162.427
6,14,135,-159.49,-159.447,-159.534
6,15,165,-181.255,-180.587,-181.191
6,16,195,-218.11,-214.529,-214.15
6,17,225,-243.435,-236.162,-236.582
6,18,255,-260.248,-250.678,-251.204
6,19,285,-280.566,-266.77,-266.816
6,20,315,-301.664,-286.571,-287.01
6,21,345,-285.633,-275.356,-275.179
6,22,375,-257.644,-251.666,-251.504
6,23,405,-259.041,-252.335,-252.555
6,24,435,-271.363,-260.349,-261.113
6,25,465,-271.107,-262.199,-262.557
6,26,495,-248.146,-243.92,-243.741
6,27,525,-224.596,-222.267,-220.804
6,28,555,-217.831,-215.629,-214.988
6,29,585,-221.207,-219.668,-219.893
6,30,615,-223.969,-221.132,-221.195
6,31,645,-221.788,-219.051,-220.208
6,32,675,-222.03,-220.842,-220.651
6,33,705,-212.533,-211.352,-211.723
6,34,735,-204.85,-203.632,-203.726
