subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,4,-165,model3,1,-475.48,-113.343,0,1400,679,168,-4.95196,-0.267264,0.0149013,-0.715031,1.07888,0.106524,0.487227
1,active,4,-165,model3,2,-495.24,-94.4913,1,335,698,149,3.66752,0.00942751,-0.000115048,-0.0192058,0.0348222,0.00707007,0.491927
1,active,4,-165,model3,3,-453.745,-135.793,0,1400,669,178,-35.4024,0.0126586,0.0275842,-0.0323039,0.0924882,0.0296713,0.476761
1,active,4,-165,model3,4,-464.262,-125,0,1400,661,186,-137.754,0.0815501,0.0588542,-0.411702,0.48939,0.0146289,0.488449
1,active,5,-135,model0,0,-477.378,-116.966,1,98,681,166,0.487769,0.0482658,,,,,
1,active,5,-135,model0,1,-487.992,-106.964,1,216,679,168,0.496471,0.027146,,,,,
1,active,5,-135,model0,2,-495.712,-99.2945,1,74,698,149,0.492209,0.023434,,,,,
1,active,5,-135,model0,3,-436.051,-160.705,1,99,669,178,0.464308,0.0548361,,,,,
1,active,5,-135,model0,4,-476.291,-118.9,1,89,661,186,0.497371,0.0615821,,,,,
1,active,5,-135,model2B,0,-476.091,-118.1,0,1200,681,166,4246.7,-7.17851e-05,-15.0581,47.4659,-1.92527,0.0514892,
1,active,5,-135,model2B,1,-487.321,-107.042,1,863,679,168,-2.31721,-0.0320479,0.313696,-3.53391,0.592025,0.0208816,
1,active,5,-135,model2B,2,-495.519,-99.0446,0,1200,698,149,-22.7969,-0.0252488,0.395634,-1.2432,0.521204,0.0180376,
1,active,5,-135,model2B,3,-435.626,-160.567,0,1200,669,178,40.2161,-0.000194087,1.90629,-71.697,4.38387,0.0544388,
1,active,5,-135,model2B,4,-475.986,-118.695,0,1200,661,186,2.12389,-0.0172553,0.21338,-6.18105,0.882626,0.0600349,
1,active,5,-135,model3,0,-477.267,-116.802,1,1255,681,166,6.48227,0.222046,0.0502781,-0.198965,0.284609,-0.614461,0.487553
1,active,5,-135,model3,1,-486.15,-107.517,0,1400,679,168,0.741952,-10.1099,0.0170063,-2.95563,83.4648,-11.714,0.487547
1,active,5,-135,model3,2,-495.007,-99.8301,1,1392,698,149,11.1998,-0.330712,0.0170746,-0.537486,0.663557,-0.212177,0.49173
1,active,5,-135,model3,3,-433.331,-161.711,0,1400,669,178,-2.48893,-1.16403,0.0474518,-0.617254,2.04806,2.63145,0.449724
1,active,5,-135,model3,4,-470.633,-121.511,0,1400,661,186,9.97741,0.572207,0.0877336,-0.254304,-0.863429,-0.484879,0.471537
1,active,6,-105,model0,0,-508.305,-115.515,1,108,681,166,0.510392,0.0886668,,,,,
1,active,6,-105,model0,1,-488.61,-135.371,1,128,679,168,0.496891,0.0795193,,,,,
1,active,6,-105,model0,2,-522.061,-102.356,1,91,698,149,0.511205,0.0648515,,,,,
1,active,6,-105,model0,3,-467.338,-157.746,1,88,669,178,0.486592,0.0930353,,,,,
1,active,6,-105,model0,4,-505.821,-118.773,1,189,661,186,0.520137,0.0953518,,,,,
1,active,6,-105,model2B,0,-506.961,-115.726,0,1200,681,166,8.94177,-0.303519,0.355908,-0.838182,0.584269,0.0539391,
1,active,6,-105,model2B,1,-486.818,-137.186,1,1042,679,168,184.794,-0.00792306,1.39119,-8.755,1.19674,0.075739,
1,active,6,-105,model2B,2,-519.328,-106.162,0,1200,698,149,6.33695,-2.87889,0.774055,5.90478,0.0937573,0.0572104,
1,active,6,-105,model2B,3,-466.895,-159.444,0,1200,669,178,5.75647,-1.35044,0.177221,0.250091,0.449444,0.0655927,
1,active,6,-105,model2B,4,-504.803,-119.344,0,1200,661,186,5.23689,-0.276447,0.247028,0.179243,0.503448,0.0543704,
1,active,6,-105,model3,0,-494.87,-115.354,0,1400,681,166,-7.82715,-0.53374,0.06663,0.00454776,2.34865,0.221923,0.501771
1,active,6,-105,model3,1,-471.481,-137.799,0,1400,679,168,-35.4384,-0.144503,0.0710436,0.078017,2.61445,0.0957031,0.475099
1,active,6,-105,model3,2,-506.517,-102.73,0,1400,698,149,-52.2386,-0.102463,0.0574949,-0.00532019,2.73104,1.55877,0.490644
1,active,6,-105,model3,3,-465.387,-158.49,0,1400,669,178,5.03399,-6.54563,0.0741916,-4.25074,4.36725,-100.04,0.484789
1,active,6,-105,model3,4,-504.839,-119.022,0,1400,661,186,-16.7474,0.161683,0.118823,0.0022937,5.49361,-0.210475,0.519304
1,active,7,-75,model0,0,-509.082,-110.863,1,156,681,166,0.510979,0.093463,,,,,
1,active,7,-75,model0,1,-480.976,-139.319,1,92,679,168,0.491338,0.0987944,,,,,
1,active,7,-75,model0,2,-524.203,-95.8528,1,90,698,149,0.512754,0.0879763,,,,,
1,active,7,-75,model0,3,-467.898,-152.779,1,88,669,178,0.486994,0.0965579,,,,,
1,active,7,-75,model0,4,-494.755,-125.438,1,93,661,186,0.511479,0.0793699,,,,,
1,active,7,-75,model2B,0,-508.517,-110.758,0,1200,681,166,-333.671,-0.00198453,8.0047,-2.16457,0.713199,0.084616,
1,active,7,-75,model2B,1,-480.218,-139.606,0,1200,679,168,-12.1485,-0.0399993,0.0940908,-10.8457,1.56055,0.0964642,
1,active,7,-75,model2B,2,-523.467,-95.9114,0,1200,698,149,-731.142,-0.00209573,11.4773,-1.74636,0.667519,0.0800841,
1,active,7,-75,model2B,3,-467.437,-152.579,0,1200,669,178,-287.569,-0.00448481,3.58792,-2.35873,0.715499,0.0901556,
1,active,7,-75,model2B,4,-494.223,-125.386,0,1200,661,186,5.89705,-0.038622,1.06613,-0.403448,0.543128,0.0535387,
1,active,7,-75,model3,0,-499.777,-110.956,0,1400,681,166,-8.09925,-0.421854,0.0776674,0.542357,1.22479,0.531702,0.484169
1,active,7,-75,model3,1,-480.667,-139.334,0,1400,679,168,4.52375,-0.575332,0.0677793,0.105231,0.0432298,0.206505,0.490602
1,active,7,-75,model3,2,-516.955,-95.4651,1,887,698,149,-4.0492,-1.01655,0.0839142,1.45312,1.5663,0.201464,0.502039
1,active,7,-75,model3,3,-467.554,-152.972,1,1143,669,178,-7.75143,-0.068718,0.0763722,-0.00106218,0.729902,-0.125897,0.485637
1,active,7,-75,model3,4,-494.576,-125.502,0,1400,661,186,195.325,-0.0925774,0.0895258,-1.74218,2.37738,-0.00614671,0.511291
1,active,8,-45,model0,0,-536.134,-142.153,1,89,681,166,0.531681,0.0716929,,,,,
1,active,8,-45,model0,1,-527.559,-150.932,1,87,679,168,0.526218,0.0597644,,,,,
1,active,8,-45,model0,2,-575.095,-103.425,1,94,698,149,0.551568,0.068671,,,,,
1,active,8,-45,model0,3,-532.264,-145.759,1,87,669,178,0.536196,0.0627586,,,,,
1,active,8,-45,model0,4,-539.5,-139.01,1,86,661,186,0.547335,0.0477187,,,,,
1,active,8,-45,model2B,0,-535.463,-141.889,0,1200,681,166,37.0756,0.00398659,0.698208,4.60078,0.236809,0.065771,
1,active,8,-45,model2B,1,-526.439,-149.977,0,1200,679,168,-40.7064,0.035523,0.297004,7.85213,0.066259,0.0623174,
1,active,8,-45,model2B,2,-573.374,-103.098,0,1200,698,149,-12.994,0.0288398,0.0624685,37.0534,-2.07131,0.0718399,
1,active,8,-45,model2B,3,-529.912,-146.027,0,1200,669,178,-26.8125,0.0529818,0.691591,3.45581,0.312797,0.0771263,
1,active,8,-45,model2B,4,-538.011,-138.36,0,1200,661,186,25.4025,0.00077396,1.06546,72.5188,-2.94737,0.0486977,
1,active,8,-45,model3,0,-532.085,-143.21,0,1400,681,166,-13.8093,-0.251198,0.060496,1.38747,0.301362,-0.0715334,0.50838
1,active,8,-45,model3,1,-520.472,-155.427,0,1400,679,168,-100.873,-0.0350852,0.0315893,1.32691,-0.00196174,0.0379282,0.491673
1,active,8,-45,model3,2,-574.112,-103.596,0,1400,698,149,-1.36964,-1.08042,0.0512582,-0.582067,2.21894,0.262349,0.537239
1,active,8,-45,model3,3,-531.882,-145.738,0,1400,669,178,13.7729,0.103344,0.0244559,0.375256,-0.256569,-0.0577451,0.530936
1,active,8,-45,model3,4,-536.237,-138.231,0,1400,661,186,-1482.87,-0.00293857,0.0322676,0.0961751,1.41262,0.113425,0.523669
1,active,9,-15,model0,0,-572.587,-149.153,1,97,681,166,0.560947,0.0658376,,,,,
1,active,9,-15,model0,1,-547.649,-175.38,1,95,679,168,0.542071,0.0400333,,,,,
1,active,9,-15,model0,2,-607.975,-113.566,1,88,698,149,0.578156,0.0425937,,,,,
1,active,9,-15,model0,3,-576.507,-144.852,1,90,669,178,0.572841,0.0397,,,,,
1,active,9,-15,model0,4,-577.458,-144.148,1,83,661,186,0.579678,0.0492842,,,,,
1,active,9,-15,model2B,0,-572.341,-148.346,0,1200,681,166,-21.3816,-0.00625463,0.0354162,-108.195,7.30911,0.0622337,
1,active,9,-15,model2B,1,-543.499,-180.427,0,1200,679,168,-63.9585,-0.00215043,0.0822509,-486.732,8.34725,0.0159226,
1,active,9,-15,model2B,2,-607.579,-112.958,0,1200,698,149,5.07178,-0.00118432,0.279661,-91.8506,4.47161,0.0421832,
1,active,9,-15,model2B,3,-576.234,-144.213,0,1200,669,178,60.426,-0.0422614,0.00897724,-229.744,9.1792,0.0373903,
1,active,9,-15,model2B,4,-576.02,-144.429,0,1200,661,186,-13.3544,-0.00203995,0.399139,-72.2115,4.17158,0.0492421,
1,active,9,-15,model3,0,-572.232,-148.898,0,1400,681,166,-61.2424,0.0152078,0.0240385,0.0921184,0.0348176,-0.0770027,0.56003
1,active,9,-15,model3,1,-544.847,-178.809,0,1400,679,168,2.81363,-0.531839,-0.0599046,0.0355371,0.35824,0.719684,0.525126
1,active,9,-15,model3,2,-607.672,-113.46,0,1400,698,149,-6.02634,0.138619,0.0160357,-0.245765,0.79227,-0.0531537,0.579463
1,active,9,-15,model3,3,-576.14,-144.791,0,1400,669,178,-0.313193,0.250327,0.00474489,0.0237368,0.0808,0.00985281,0.572465
1,active,9,-15,model3,4,-577.029,-144.152,0,1400,661,186,7.73991,-0.0731749,0.0307228,0.163139,-0.288012,0.171929,0.579024
1,active,10,15,model0,0,-579.696,-131.831,1,98,681,166,0.566848,0.07777,,,,,
