subject,window,t_ms,model0,model2B,model3
11,20,315,-245.485,-242.162,-242.262
11,21,345,-243.232,-241.385,-241.383
11,22,375,-233.171,-233.484,-233.709
11,23,405,-233.961,-234.561,-235.078
11,24,435,-229.601,-229.255,-229.124
11,25,465,-230.269,-229.95,-230.268
11,26,495,-226.665,-227.384,-227.624
11,27,525,-206.432,-206.295,-207.239
11,28,555,-198.392,-197.685,-198.025
11,29,585,-201.032,-200.301,-201.566
11,30,615,-209.123,-208.544,-208.832
11,31,645,-207.354,-206.605,-207.923
11,32,675,-198.782,-198.51,-197.531
11,33,705,-198.35,-198.065,-198.791
11,34,735,-214.627,-214.69,-215.012
11,35,765,-225.268,-225.571,-225.332
11,36,795,-215.707,-215.814,-215.903
11,37,825,-208.186,-208.433,-208.353
11,38,855,-207.145,-207.486,-206.264
11,39,885,-206.14,-206.143,-207.443
11,40,915,-195.431,-195.942,-196.036
11,41,945,-200.317,-200.306,-200.564
11,42,975,-210.518,-210.238,-211.478
11,43,1005,-213.489,-213.664,-213.712
11,44,1035,-209.197,-209.423,-209.462
11,45,1065,-207.951,-208.106,-208.597
11,46,1095,-196.63,-197.032,-197.001
11,47,1125,-194.142,-194.703,-194.654
11,48,1155,-188.868,-189.768,-189.464
11,49,1185,-166.989,-167.354,-166.324
11,50,1215,-170.293,-170.525,-169.986
11,51,1245,-172.67,-172.456,-172.713
11,52,1275,-172.063,-173.453,-172.654
12,0,-285,-86.27,-86.1321,-85.5033
12,1,-255,-98.7791,-98.5406,-94.1455
12,2,-225,-108.325,-108.371,-108.375
12,3,-195,-121.779,-122.448,-122.096
12,4,-165,-136.282,-136.834,-136.603
12,5,-135,-123.35,-123.438,-123.021
12,6,-105,-104.087,-103.853,-104.42
12,7,-75,-105.121,-105.459,-105.063
12,8,-45,-104.279,-104.769,-104.728
12,9,-15,-123.34,-123.749,-123.149
12,10,15,-143.492,-143.527,-144.029
12,11,45,-147.119,-146.609,-146.676
12,12,75,-142.731,-142.533,-142.575
12,13,105,-141.336,-141.584,-141.58
12,14,135,-137.841,-137.274,-138.353
12,15,165,-167.48,-167.196,-167.541
12,16,195,-174.147,-174.273,-174.057
12,17,225,-172.436,-172.732,-172.569
12,18,255,-174.254,-174.522,-174.459
12,19,285,-200.749,-199.633,-199.22
12,20,315,-230.92,-225.749,-225.539
12,21,345,-244.425,-238.597,-238.458
12,22,375,-226.789,-222.532,-222.364
12,23,405,-219.127,-215.847,-215.932
12,24,435,-228.146,-223.393,-223.632
12,25,465,-223.31,-219.247,-218.858
12,26,495,-195.587,-194.42,-193.561
12,27,525,-181.328,-180.962,-181.633
12,28,555,-216.301,-215.119,-215.99
12,29,585,-235.527,-234.213,-234.607
12,30,615,-215.555,-215.321,-215.299
12,31,645,-188.47,-188.81,-188.381
12,32,675,-189.077,-189.032,-188.847
12,33,705,-188.776,-188.762,-188.788
12,34,735,-161.914,-161.961,-162.019
12,35,765,-154.049,-154.296,-154.171
12,36,795,-167.703,-168.213,-167.719
12,37,825,-169.697,-169.916,-170.1
12,38,855,-155.776,-155.976,-155.987
12,39,885,-169.072,-168.844,-169.274
12,40,915,-174.287,-174.286,-174.275
12,41,945,-169.259,-169.271,-169.416
12,42,975,-167.276,-167.562,-166.987
12,43,1005,-165.421,-165.937,-165.763
12,44,1035,-149.659,-150.059,-149.802
12,45,1065,-149.953,-150.242,-150.102
12,46,1095,-146.912,-147.151,-147.891
12,47,1125,-143.603,-143.721,-143.768
12,48,1155,-170.13,-170.373,-170.178
12,49,1185,-174.84,-175.653,-174.789
12,50,1215,-167.278,-167.859,-167.865
12,51,1245,-156.574,-157.15,-157.008
12,52,1275,-143.417,-143.401,-144.279
13,0,-285,-116.952,-116.917,-117.19
13,1,-255,-108.128,-108.44,-108.645
13,2,-225,-84.3508,-84.3217,-84.5584
13,3,-195,-87.0922,-87.6439,-87.2921
13,4,-165,-99.1821,-100.893,-99.1673
13,5,-135,-110.141,-110.492,-109.683
13,6,-105,-106.547,-106.473,-106.711
13,7,-75,-118.625,-118.697,-118.856
13,8,-45,-123.954,-124.048,-123.927
13,9,-15,-116.985,-118.193,-117.027
13,10,15,-129.931,-130.439,-130.458
13,11,45,-128.703,-129.221,-129.446
13,12,75,-127.098,-127.16,-127.219
13,13,105,-148.706,-148.35,-148.902
13,14,135,-166.856,-168.459,-167.158
13,15,165,-176.258,-176.728,-176.098
13,16,195,-192.34,-191.576,-192.815
13,17,225,-226.093,-221.473,-222.274
13,18,255,-262.791,-253.548,-253.83
13,19,285,-289.101,-276.453,-277.046
13,20,315,-285.7,-275.947,-275.563
13,21,345,-243.583,-237.268,-236.466
13,22,375,-225.648,-221.141,-220.613
13,23,405,-222.748,-216.814,-216.754
13,24,435,-202.759,-198.769,-198.404
13,25,465,-189.316,-188.937,-188.103
13,26,495,-183.616,-183.098,-182.544
13,27,525,-188.236,-187.628,-187.322
13,28,555,-189.218,-188.867,-189.07
13,29,585,-193.114,-193.015,-192.893
13,30,615,-194.013,-194.65,-194.306
13,31,645,-176.813,-176.79,-176.865
13,32,675,-183.491,-183.624,-183.086
13,33,705,-206.888,-206.933,-206.583
13,34,735,-194.301,-194.221,-193.665
