subject,window,t_ms,model0,model2B,model3
4,26,495,-232.842,-226.483,-226.41
4,27,525,-249.756,-240.783,-241.359
4,28,555,-249.514,-242.735,-242.764
4,29,585,-237.14,-233.001,-232.245
4,30,615,-231.908,-227.421,-226.736
4,31,645,-230.092,-225.481,-225.992
4,32,675,-238.483,-234.969,-235.008
4,33,705,-247.108,-241.567,-241.291
4,34,735,-258.967,-249.903,-249.651
4,35,765,-265.257,-256.558,-256.593
4,36,795,-252.509,-244.43,-244.811
4,37,825,-259.409,-252.168,-252.345
4,38,855,-265.708,-259.429,-259.28
4,39,885,-248.574,-243.919,-244.121
4,40,915,-226.059,-221.56,-221.008
4,41,945,-246.547,-240.049,-239.465
4,42,975,-255.849,-250.449,-249.702
4,43,1005,-233.556,-230.49,-230.67
4,44,1035,-215.091,-212.943,-212.489
4,45,1065,-207.151,-205.041,-205.006
4,46,1095,-214.124,-212.189,-212.095
4,47,1125,-191.854,-190.229,-190.718
4,48,1155,-175.984,-175.103,-175.097
4,49,1185,-158.473,-158.306,-158.461
4,50,1215,-155.414,-155.337,-155.404
4,51,1245,-152.486,-152.061,-152.51
4,52,1275,-151.651,-151.283,-150.551
5,0,-285,-168.069,-168.245,-168.657
5,1,-255,-162.035,-162.611,-163.761
5,2,-225,-126.078,-126.59,-126.326
5,3,-195,-135.616,-136.728,-136.372
5,4,-165,-157.866,-157.304,-158.104
5,5,-135,-146.004,-144.777,-146.448
5,6,-105,-133.598,-133.92,-134.385
5,7,-75,-139.345,-139.984,-140.139
5,8,-45,-148.052,-147.74,-148.748
5,9,-15,-152.152,-151.824,-152.579
5,10,15,-154.551,-154.048,-154.571
5,11,45,-150.298,-150.344,-150.338
5,12,75,-151.322,-151.618,-151.787
5,13,105,-182.868,-183.138,-182.803
5,14,135,-218.882,-216.843,-217.287
5,15,165,-247.712,-243.585,-243.93
5,16,195,-249.319,-246.143,-247.444
5,17,225,-255.682,-251.623,-251.858
5,18,255,-293.456,-283.246,-284.446
5,19,285,-320.713,-304.319,-306.025
5,20,315,-322.298,-307.055,-306.979
5,21,345,-299.935,-287.845,-287.822
5,22,375,-271.143,-262.962,-263.21
5,23,405,-248.639,-244.655,-244.081
5,24,435,-240.083,-237.688,-237.652
5,25,465,-250.074,-247.309,-247.554
5,26,495,-249.474,-245.947,-246.571
5,27,525,-244.567,-242.122,-242.036
5,28,555,-234.709,-232.712,-233.712
5,29,585,-226.237,-224.981,-224.935
5,30,615,-222.84,-222.281,-222.423
5,31,645,-218.214,-217.677,-217.292
5,32,675,-219.488,-218.929,-218.07
5,33,705,-218.798,-218.218,-217.005
5,34,735,-216.9,-216.76,-215.624
5,35,765,-213.321,-213.582,-212.349
5,36,795,-214.069,-214.47,-214.021
5,37,825,-209.418,-209.397,-208.071
5,38,855,-206.693,-206.93,-206.844
