subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,passive,4,-165,model2B,0,-430.632,-159.662,0,1200,722,171,-19.8407,0.0724204,-0.364759,3.80802,0.471018,-0.0168399,
1,passive,4,-165,model2B,1,-488.129,-97.9792,0,1200,726,167,39.0806,0.0287739,-0.607202,1.64915,0.46412,-0.00215785,
1,passive,4,-165,model2B,2,-462.112,-123.81,0,1200,707,186,4.13203,0.0503329,-0.22585,2.0695,0.441224,0.00505754,
1,passive,4,-165,model2B,3,-482.182,-104.622,0,1200,707,186,-219.485,0.0174078,1.69826,-11.5749,0.660747,0.0171771,
1,passive,4,-165,model2B,4,-475.716,-110.565,0,1200,710,183,204.325,0.0142186,-2.88206,1.60354,0.473989,-0.00588012,
1,passive,4,-165,model3,0,-431.84,-158.046,0,1400,722,171,-24.4191,0.236405,0.0510045,0.903927,-1.0214,0.0802238,0.440063
1,passive,4,-165,model3,1,-488.166,-98.1293,0,1400,726,167,-445.82,0.0549744,0.0400426,-0.0682261,0.0675494,0.971965,0.474007
1,passive,4,-165,model3,2,-461.833,-124.482,0,1400,707,186,-195.364,0.140367,0.0606472,0.00716764,-0.144853,-0.169082,0.465004
1,passive,4,-165,model3,3,-482.365,-104.555,0,1400,707,186,93.712,-0.271044,0.0384138,-0.391292,2.1882,0.0164726,0.478706
1,passive,4,-165,model3,4,-475.78,-110.716,0,1400,710,183,-380.459,0.057138,0.0135364,-0.0802742,0.0765656,0.103237,0.472921
1,passive,5,-135,model0,0,-448.009,-163.699,1,96,722,171,0.450037,-0.0251834,,,,,
1,passive,5,-135,model0,1,-493.308,-114.836,1,103,726,167,0.477388,-0.0181766,,,,,
1,passive,5,-135,model0,2,-488.953,-119.399,1,83,707,186,0.483187,-0.00866307,,,,,
1,passive,5,-135,model0,3,-502.72,-106.316,1,71,707,186,0.492713,-0.00884613,,,,,
1,passive,5,-135,model0,4,-495.726,-112.715,1,87,710,183,0.486405,-0.021232,,,,,
1,passive,5,-135,model2B,0,-444.554,-162.751,1,1169,722,171,-5.04889,0.592791,-1.21892,1.3481,0.482946,-0.0434696,
1,passive,5,-135,model2B,1,-489.896,-113.921,0,1200,726,167,-4.89366,2.21882,-9.73932,499.667,12.0258,-0.023148,
1,passive,5,-135,model2B,2,-486.914,-119.19,1,934,707,186,-313.779,0.00544581,-1.22659,16.3664,0.648277,-0.0122694,
1,passive,5,-135,model2B,3,-500.727,-106.045,0,1200,707,186,-173.372,0.0126899,-1.01561,12.4505,0.606991,-0.0120318,
1,passive,5,-135,model2B,4,-491.827,-112.217,0,1200,710,183,-2.08291,4.38167,-5.97266,151.102,4.36145,-0.0257647,
1,passive,5,-135,model3,0,-444.663,-165.865,1,1290,722,171,-122.969,0.403725,0.0716065,-0.0445103,0.0479951,-0.228738,0.447955
1,passive,5,-135,model3,1,-491.689,-114.705,0,1400,726,167,-40.7721,0.0647216,0.0580125,-0.197757,0.306437,0.00142967,0.476382
1,passive,5,-135,model3,2,-487.468,-119.636,0,1400,707,186,4.85263,-0.51824,0.0577901,0.025722,-0.280624,0.36441,0.483554
1,passive,5,-135,model3,3,-502.167,-105.24,0,1400,707,186,-49.9356,0.192186,0.0293452,-0.0420425,0.0244225,0.136877,0.490868
1,passive,5,-135,model3,4,-494.856,-111.843,0,1400,710,183,158.544,-1.12522,0.0311713,-3.02087,6.34306,0.000742044,0.485928
1,passive,6,-105,model0,0,-515.979,-184.506,1,291,722,171,0.494461,-0.0335317,,,,,
1,passive,6,-105,model0,1,-556.751,-139.852,1,135,726,167,0.520977,-0.0282987,,,,,
1,passive,6,-105,model0,2,-561.704,-135.436,1,74,707,186,0.535526,-0.00970273,,,,,
1,passive,6,-105,model0,3,-578.544,-119.29,1,90,707,186,0.54844,-0.0359871,,,,,
1,passive,6,-105,model0,4,-567.701,-129.104,1,263,710,183,0.538274,-0.0307775,,,,,
