t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
14,0.1188,0.09961,1.193,0.1238,0.5429,0.2325,0.1033,2.25,0.01824,0.025
16,0.0944,0.1016,0.9294,0.1822,0.7369,0.2475,0.1027,2.41,0.01314,0.01858
18,0.07097,0.1035,0.6859,0.2505,0.9021,0.2646,0.1022,2.59,0.008991,0.01359
20,0.051,0.1045,0.4881,0.3155,0.9881,0.2836,0.1021,2.779,0.005983,0.009513
22,0.0345,0.1045,0.3302,0.3724,0.9881,0.3039,0.1027,2.958,0.004037,0.006838
24,0.02022,0.1041,0.1943,0.424,0.9881,0.324,0.1042,3.109,0.002889,0.00508
26,0.00794,0.1037,0.07657,0.4699,0.9881,0.3429,0.1064,3.224,0.002235,0.004043
28,-0.001818,0.1035,-0.01756,0.5069,0.9881,0.3595,0.1086,3.31,0.001841,0.003369
30,-0.008457,0.1038,-0.08148,0.532,0.9881,0.3738,0.1106,3.381,0.001569,0.002901
32,-0.01165,0.1045,-0.1114,0.5438,0.9881,0.3863,0.1121,3.447,0.001352,0.002514
34,-0.01146,0.1058,-0.1084,0.5426,0.9881,0.3976,0.1131,3.514,0.001159,0.002176
36,-0.008408,0.1074,-0.0783,0.5308,0.9881,0.4083,0.1138,3.589,0.0009794,0.001852
38,-0.003403,0.1093,-0.03113,0.5123,0.9881,0.4187,0.114,3.673,0.0008078,0.001532
40,0.002501,0.1117,0.0224,0.4912,0.9881,0.4293,0.1138,3.772,0.0006447,0.001228
42,0.008177,0.1148,0.07125,0.472,0.9881,0.4404,0.1132,3.889,0.0004934,0.000943
44,0.0122,0.1189,0.1026,0.4597,0.9881,0.4521,0.1122,4.029,0.0003589,0.0006891
46,0.01293,0.1238,0.1045,0.4589,0.9881,0.4646,0.1108,4.194,0.0002461,0.0004784
48,0.009384,0.1288,0.07288,0.4713,0.9881,0.4779,0.1089,4.389,0.0001577,0.0003129
50,0.00217,0.1331,0.01631,0.4936,0.9881,0.4919,0.1064,4.622,9.307e-05,0.0001886
52,-0.006773,0.136,-0.0498,0.5196,0.9881,0.5067,0.1033,4.903,4.935e-05,0.0001035
54,-0.01544,0.1373,-0.1125,0.5442,0.9881,0.5223,0.09943,5.252,2.269e-05,4.975e-05
56,-0.02291,0.1371,-0.1672,0.5655,0.9881,0.5387,0.09489,5.676,8.983e-06,2.016e-05
58,-0.02948,0.1358,-0.2171,0.5848,0.9881,0.5549,0.09061,6.124,3.451e-06,8.019e-06
60,-0.03603,0.134,-0.2689,0.6045,0.9881,0.5685,0.08776,6.478,1.652e-06,4.066e-06
62,-0.04331,0.1321,-0.3277,0.6267,0.9881,0.5766,0.08644,6.67,1.113e-06,2.949e-06
64,-0.05165,0.1305,-0.3959,0.6517,0.9881,0.5785,0.08582,6.741,9.659e-07,2.591e-06
66,-0.06098,0.1291,-0.4724,0.679,0.9881,0.5748,0.08531,6.737,9.729e-07,2.604e-06
68,-0.07095,0.1278,-0.555,0.7073,0.9881,0.5664,0.08483,6.677,1.099e-06,2.917e-06
70,-0.08115,0.1267,-0.6407,0.7353,0.9881,0.5541,0.08454,6.554,1.412e-06,3.531e-06
72,-0.09125,0.1255,-0.7273,0.762,0.9881,0.5385,0.08477,6.353,2.14e-06,5.155e-06
74,-0.101,0.1242,-0.8128,0.7868,0.9881,0.5206,0.08586,6.063,3.928e-06,9.092e-06
76,-0.11,0.1228,-0.8956,0.8092,0.9881,0.5015,0.08801,5.699,8.556e-06,1.923e-05
78,-0.1181,0.1211,-0.9753,0.8292,0.9881,0.4829,0.0911,5.301,2.039e-05,4.486e-05
80,-0.1255,0.1191,-1.054,0.8474,0.9881,0.4662,0.09474,4.921,4.741e-05,9.994e-05
82,-0.1327,0.1168,-1.136,0.865,0.9881,0.4527,0.09838,4.602,9.729e-05,0.0001965
84,-0.1403,0.1143,-1.228,0.8827,0.9881,0.4433,0.1015,4.368,0.0001654,0.0003277
86,-0.1485,0.1118,-1.328,0.9001,0.9881,0.4385,0.1037,4.23,0.0002265,0.0004424
88,-0.157,0.1098,-1.431,0.9156,0.9881,0.4388,0.1047,4.192,0.0002469,0.0004792
90,-0.1652,0.1084,-1.524,0.9281,0.9881,0.445,0.1045,4.257,0.0002131,0.0004176
92,-0.1724,0.1078,-1.599,0.9369,0.9881,0.4577,0.1036,4.416,0.0001484,0.0002959
94,-0.1778,0.1078,-1.648,0.9421,0.9881,0.4763,0.1032,4.617,9.404e-05,0.0001902
96,-0.1805,0.1083,-1.668,0.9441,0.9881,0.496,0.1043,4.758,6.844e-05,0.0001398
98,-0.1799,0.1086,-1.656,0.943,0.9881,0.5109,0.1058,4.827,5.857e-05,0.0001204
100,-0.1757,0.1088,-1.615,0.9386,0.9881,0.521,0.1064,4.897,5.008e-05,0.0001046
102,-0.1679,0.1089,-1.542,0.9302,0.9881,0.5297,0.1056,5.017,3.831e-05,8.27e-05
104,-0.1564,0.1096,-1.427,0.9151,0.9881,0.5405,0.1031,5.244,2.313e-05,5.063e-05
106,-0.1412,0.1116,-1.266,0.8895,0.9881,0.5576,0.09729,5.731,7.987e-06,1.802e-05
108,-0.1236,0.1152,-1.073,0.8517,0.9881,0.5875,0.08743,6.719,1.008e-06,2.69e-06
110,-0.1066,0.12,-0.8881,0.8072,0.9881,0.6197,0.08183,7.574,1.871e-07,5.198e-07
112,-0.09293,0.125,-0.7435,0.7669,0.9881,0.6391,0.08069,7.921,9.708e-08,2.715e-07
114,-0.08329,0.1289,-0.6462,0.7371,0.9881,0.6516,0.07999,8.146,6.396e-08,1.793e-07
116,-0.07706,0.1312,-0.5875,0.7181,0.9881,0.6615,0.07938,8.333,4.55e-08,1.281e-07
118,-0.07393,0.132,-0.5601,0.709,0.9881,0.6699,0.07888,8.493,3.409e-08,9.618e-08
120,-0.07408,0.1318,-0.5621,0.7097,0.9881,0.6774,0.07841,8.639,2.627e-08,7.446e-08
122,-0.07755,0.131,-0.5921,0.7196,0.9881,0.6844,0.07785,8.79,2.013e-08,5.718e-08
124,-0.08394,0.1299,-0.6464,0.7371,0.9881,0.6912,0.07705,8.972,1.467e-08,4.186e-08
126,-0.09254,0.1286,-0.7197,0.7598,0.9881,0.6986,0.0758,9.216,9.642e-09,2.758e-08
128,-0.1026,0.1273,-0.8055,0.7848,0.9881,0.7069,0.07394,9.56,5.406e-09,1.554e-08
130,-0.1132,0.1262,-0.8969,0.8095,0.9881,0.7165,0.07136,10.04,2.466e-09,7.118e-09
132,-0.1236,0.1252,-0.9871,0.832,0.9881,0.7277,0.0681,10.69,8.946e-10,2.601e-09
134,-0.1331,0.1244,-1.07,0.851,0.9881,0.7403,0.06436,11.5,2.642e-10,7.716e-10
136,-0.1411,0.1237,-1.141,0.8659,0.9881,0.7539,0.06051,12.46,6.863e-11,2.018e-10
138,-0.1473,0.1232,-1.195,0.8766,0.9881,0.7679,0.05695,13.49,1.763e-11,5.297e-11
140,-0.1514,0.1229,-1.232,0.8835,0.9881,0.7818,0.05393,14.5,5.005e-12,1.56e-11
142,-0.1533,0.1227,-1.25,0.8867,0.9881,0.7951,0.05151,15.44,1.66e-12,5.255e-12
144,-0.1533,0.1225,-1.251,0.887,0.9881,0.8075,0.04955,16.3,6.351e-13,2.025e-12
146,-0.1519,0.1225,-1.24,0.885,0.9881,0.819,0.04784,17.12,2.636e-13,8.471e-13
148,-0.1501,0.1225,-1.226,0.8824,0.9881,0.8298,0.04618,17.97,1.104e-13,3.631e-13
150,-0.149,0.1228,-1.213,0.88,0.9881,0.84,0.0444,18.92,4.372e-14,1.485e-13
152,-0.1473,0.1239,-1.189,0.8755,0.9881,0.8497,0.04244,20.02,1.562e-14,5.707e-14
154,-0.1427,0.1256,-1.136,0.865,0.9881,0.859,0.04024,21.34,4.864e-15,1.854e-14
156,-0.1349,0.1276,-1.057,0.8481,0.9881,0.868,0.03783,22.94,1.294e-15,4.964e-15
158,-0.1251,0.1297,-0.9647,0.8266,0.9881,0.8768,0.03524,24.88,2.911e-16,1.127e-15
160,-0.1144,0.1317,-0.8685,0.802,0.9881,0.8853,0.03253,27.22,5.523e-17,2.157e-16
162,-0.1037,0.1332,-0.7785,0.7771,0.9881,0.8936,0.02976,30.03,8.902e-18,3.51e-17
164,-0.09517,0.1331,-0.7151,0.7584,0.9881,0.9014,0.02701,33.37,1.239e-18,4.949e-18
166,-0.09107,0.1304,-0.6986,0.7534,0.9881,0.9088,0.02435,37.32,1.527e-19,6.426e-19
168,-0.08801,0.1269,-0.6936,0.7518,0.9881,0.9157,0.02184,41.92,1.718e-20,7.406e-20
170,-0.08102,0.1246,-0.6504,0.7384,0.9881,0.9221,0.01953,47.22,1.832e-21,8.092e-21
172,-0.07056,0.1233,-0.5722,0.713,0.9881,0.9279,0.01744,53.21,1.924e-22,8.652e-22
174,-0.05877,0.1226,-0.4795,0.6815,0.9881,0.9331,0.01559,59.87,2.072e-23,9.489e-23
176,-0.04666,0.1218,-0.3831,0.6471,0.9881,0.9378,0.01397,67.12,2.381e-24,1.111e-23
178,-0.0342,0.1207,-0.2834,0.61,0.9881,0.942,0.01259,74.84,3.033e-25,1.487e-24
180,-0.02088,0.1191,-0.1753,0.5687,0.9881,0.9457,0.01142,82.83,4.439e-26,2.302e-25
182,-0.006057,0.1168,-0.05186,0.5204,0.9881,0.9489,0.01044,90.85,7.7e-27,4.316e-26
184,0.01076,0.1139,0.09445,0.4629,0.9881,0.9517,0.00965,98.63,1.622e-27,9.657e-27
186,0.02952,0.1106,0.267,0.3962,0.9881,0.9542,0.009012,105.9,4.222e-28,2.749e-27
188,0.04923,0.1074,0.4583,0.326,0.9881,0.9563,0.008511,112.4,1.368e-28,9.197e-28
190,0.0683,0.105,0.6506,0.2616,0.9158,0.9581,0.00813,117.9,5.531e-29,3.82e-28
192,0.08547,0.1034,0.8267,0.2093,0.7978,0.9596,0.007852,122.2,2.779e-29,1.985e-28
194,0.1003,0.1025,0.9791,0.1699,0.6978,0.9609,0.007669,125.3,1.73e-29,1.272e-28
196,0.1131,0.102,1.109,0.1406,0.6038,0.9619,0.007572,127,1.334e-29,9.986e-29
198,0.1242,0.1016,1.223,0.1181,0.5217,0.9626,0.007562,127.3,1.281e-29,9.705e-29
200,0.1343,0.1012,1.327,0.1001,0.4518,0.9631,0.007642,126,1.552e-29,1.155e-28
202,0.1435,0.1007,1.425,0.08514,0.3942,0.9633,0.007825,123.1,2.419e-29,1.748e-28
204,0.1519,0.1,1.519,0.07264,0.3466,0.9633,0.008126,118.5,4.958e-29,3.463e-28
206,0.159,0.09914,1.604,0.06264,0.3047,0.963,0.008568,112.4,1.361e-28,9.194e-28
208,0.164,0.098,1.674,0.0553,0.2776,0.9625,0.009174,104.9,5.026e-28,3.238e-27
210,0.166,0.09651,1.72,0.05086,0.2616,0.9616,0.009966,96.49,2.46e-27,1.437e-26
212,0.1643,0.09497,1.73,0.04996,0.2607,0.9605,0.01096,87.62,1.532e-26,8.29e-26
214,0.1597,0.09427,1.694,0.05326,0.2713,0.9591,0.01217,78.83,1.136e-25,5.749e-25
216,0.1558,0.095,1.64,0.05873,0.2882,0.9575,0.01357,70.57,9.219e-25,4.316e-24
218,0.1564,0.09643,1.622,0.0606,0.2959,0.9556,0.01512,63.19,7.46e-24,3.454e-23
220,0.163,0.098,1.663,0.05636,0.2807,0.9537,0.01677,56.86,5.489e-23,2.495e-22
222,0.1738,0.1002,1.734,0.04953,0.2601,0.9517,0.01843,51.64,3.378e-22,1.513e-21
224,0.1847,0.103,1.794,0.04434,0.2463,0.9498,0.01999,47.52,1.623e-21,7.192e-21
226,0.1916,0.1048,1.828,0.04167,0.2388,0.9482,0.02134,44.43,5.762e-21,2.518e-20
228,0.1941,0.1054,1.842,0.04057,0.2388,0.9469,0.02239,42.3,1.454e-20,6.289e-20
230,0.1944,0.1053,1.847,0.04022,0.2388,0.946,0.02304,41.07,2.532e-20,1.08e-19
232,0.1938,0.1049,1.846,0.04025,0.2388,0.9457,0.02323,40.72,2.975e-20,1.265e-19
234,0.1927,0.1046,1.842,0.04057,0.2388,0.9459,0.02292,41.26,2.316e-20,9.916e-20
236,0.1913,0.1045,1.831,0.04143,0.2388,0.9467,0.02213,42.78,1.176e-20,5.106e-20
238,0.1895,0.1048,1.808,0.04324,0.2435,0.9481,0.02089,45.39,3.849e-21,1.688e-20
240,0.1874,0.1058,1.771,0.04627,0.2504,0.9499,0.01926,49.31,8.078e-22,3.593e-21
242,0.1848,0.1071,1.726,0.05033,0.2607,0.9521,0.01737,54.81,1.097e-22,4.97e-22
244,0.1818,0.1081,1.681,0.05455,0.275,0.9546,0.01534,62.24,9.95e-24,4.573e-23
246,0.1793,0.1087,1.65,0.05767,0.286,0.9571,0.0133,71.97,6.372e-25,3.006e-24
248,0.1782,0.1087,1.639,0.05879,0.2882,0.9596,0.01137,84.36,3.138e-26,1.655e-25
250,0.1783,0.1082,1.648,0.05789,0.286,0.9619,0.00965,99.68,1.326e-27,7.97e-27
252,0.1793,0.1073,1.671,0.05559,0.2779,0.9641,0.008174,117.9,5.451e-29,3.785e-28
254,0.1804,0.106,1.702,0.05255,0.2692,0.9659,0.006959,138.8,2.481e-30,1.963e-29
256,0.1813,0.1044,1.737,0.04931,0.2601,0.9675,0.005995,161.4,1.419e-31,1.249e-30
258,0.1817,0.1026,1.772,0.04623,0.2504,0.9688,0.005257,184.3,1.143e-32,1.134e-31
260,0.1819,0.1008,1.805,0.04348,0.2435,0.9699,0.004718,205.6,1.431e-33,1.478e-32
262,0.182,0.09919,1.835,0.04113,0.2388,0.9708,0.004348,223.3,2.983e-34,3.453e-33
264,0.1823,0.09798,1.86,0.03919,0.2388,0.9714,0.00412,235.8,1.059e-34,1.424e-33
266,0.1829,0.09725,1.881,0.03769,0.2367,0.9719,0.004006,242.6,6.162e-35,9.185e-34
268,0.1839,0.09703,1.895,0.03669,0.2364,0.9723,0.003978,244.4,5.353e-35,8.579e-34
270,0.1851,0.09727,1.903,0.03618,0.2364,0.9725,0.004008,242.6,6.145e-35,9.185e-34
272,0.1862,0.09784,1.903,0.03613,0.2364,0.9727,0.004071,238.9,8.247e-35,1.145e-33
274,0.1872,0.09863,1.898,0.0365,0.2364,0.9728,0.004147,234.6,1.167e-34,1.535e-33
276,0.1877,0.09955,1.885,0.0374,0.2367,0.9728,0.004218,230.6,1.612e-34,2.035e-33
278,0.1873,0.1006,1.862,0.03904,0.2388,0.9729,0.004274,227.6,2.067e-34,2.533e-33
280,0.1856,0.1016,1.826,0.04178,0.2388,0.9729,0.004307,225.9,2.389e-34,2.817e-33
282,0.1821,0.1028,1.772,0.04622,0.2504,0.9729,0.004313,225.6,2.458e-34,2.871e-33
284,0.1759,0.1039,1.693,0.0534,0.2713,0.9729,0.004294,226.6,2.255e-34,2.71e-33
286,0.167,0.1053,1.586,0.06461,0.313,0.973,0.004252,228.8,1.868e-34,2.312e-33
288,0.1567,0.1072,1.462,0.08001,0.3754,0.9731,0.004192,232.1,1.427e-34,1.839e-33
290,0.1478,0.1098,1.346,0.0971,0.4398,0.9732,0.004122,236.1,1.033e-34,1.403e-33
292,0.1411,0.1127,1.251,0.113,0.5008,0.9733,0.004048,240.4,7.301e-35,1.049e-33
294,0.1305,0.1136,1.149,0.1324,0.5709,0.9734,0.003976,244.8,5.193e-35,8.541e-34
296,0.1118,0.1124,0.9949,0.1661,0.6899,0.9735,0.003913,248.8,3.812e-35,6.906e-34
298,0.1006,0.1134,0.8875,0.193,0.7706,0.9737,0.00386,252.2,2.942e-35,5.658e-34
300,0.09942,0.115,0.8643,0.1991,0.7826,0.9738,0.00382,254.9,2.408e-35,4.778e-34
302,0.1049,0.1164,0.9013,0.1894,0.7587,0.9739,0.003793,256.8,2.091e-35,4.475e-34
304,0.1148,0.1175,0.9776,0.1703,0.6978,0.974,0.003775,258,1.914e-35,4.43e-34
306,0.1268,0.1179,1.076,0.1477,0.6217,0.9741,0.003766,258.6,1.827e-35,4.392e-34
308,0.1384,0.1172,1.182,0.126,0.5467,0.9741,0.003764,258.8,1.801e-35,4.392e-34
310,0.1483,0.1149,1.291,0.1062,0.4739,0.9741,0.003765,258.7,1.817e-35,4.392e-34
312,0.1571,0.1115,1.409,0.08746,0.4019,0.9741,0.003771,258.3,1.869e-35,4.408e-34
314,0.1663,0.1078,1.543,0.06967,0.3337,0.974,0.00378,257.7,1.961e-35,4.457e-34
316,0.1766,0.1045,1.69,0.05368,0.2717,0.9739,0.003794,256.7,2.107e-35,4.475e-34
318,0.1879,0.102,1.842,0.04055,0.2388,0.9738,0.003814,255.3,2.335e-35,4.778e-34
320,0.2,0.1006,1.987,0.03075,0.2112,0.9736,0.003842,253.4,2.692e-35,5.258e-34
322,0.2123,0.1005,2.113,0.02402,0.1706,0.9734,0.003879,250.9,3.25e-35,5.974e-34
324,0.2247,0.1015,2.215,0.01961,0.1442,0.9731,0.003927,247.8,4.126e-35,7.264e-34
326,0.2371,0.1034,2.294,0.01668,0.1264,0.9729,0.003986,244.1,5.501e-35,8.62e-34
328,0.2492,0.1057,2.358,0.01464,0.1138,0.9727,0.004055,239.9,7.649e-35,1.087e-33
330,0.2603,0.1081,2.408,0.01318,0.1077,0.9725,0.004132,235.4,1.095e-34,1.456e-33
332,0.2698,0.1103,2.447,0.01216,0.102,0.9723,0.004212,230.8,1.587e-34,2.024e-33
334,0.2773,0.112,2.476,0.01142,0.1007,0.9721,0.004293,226.4,2.282e-34,2.716e-33
336,0.2832,0.1131,2.503,0.0108,0.09851,0.972,0.004369,222.5,3.189e-34,3.624e-33
338,0.2879,0.1136,2.534,0.01013,0.0946,0.972,0.004435,219.1,4.25e-34,4.744e-33
340,0.2921,0.1135,2.574,0.0093,0.0917,0.972,0.004488,216.6,5.312e-34,5.825e-33
342,0.2963,0.1127,2.629,0.008271,0.08782,0.972,0.004522,214.9,6.143e-34,6.619e-33
344,0.3008,0.1113,2.702,0.007065,0.08658,0.9722,0.004537,214.3,6.508e-34,6.894e-33
346,0.3055,0.1093,2.795,0.005772,0.08107,0.9724,0.004529,214.7,6.278e-34,6.707e-33
348,0.3102,0.1067,2.907,0.004521,0.06891,0.9727,0.004499,216.2,5.501e-34,5.98e-33
350,0.3145,0.1037,3.032,0.003428,0.05506,0.973,0.004447,218.8,4.383e-34,4.848e-33
352,0.3178,0.1005,3.162,0.002569,0.0446,0.9733,0.004375,222.5,3.189e-34,3.624e-33
354,0.3193,0.09734,3.28,0.001968,0.041,0.9737,0.004285,227.2,2.135e-34,2.591e-33
356,0.3182,0.0945,3.367,0.001618,0.03923,0.9742,0.004181,233,1.329e-34,1.73e-33
358,0.3138,0.09241,3.396,0.001516,0.03923,0.9746,0.004067,239.6,7.795e-35,1.095e-33
360,0.3059,0.09152,3.343,0.001709,0.03923,0.975,0.003948,247,4.38e-35,7.399e-34
362,0.2951,0.09222,3.2,0.002355,0.04214,0.9755,0.003826,254.9,2.402e-35,4.778e-34
364,0.283,0.09456,2.993,0.003738,0.05915,0.9759,0.003708,263.2,1.31e-35,3.518e-34
366,0.2719,0.09814,2.77,0.006092,0.08268,0.9763,0.003596,271.5,7.256e-36,2.159e-34
368,0.2636,0.1021,2.581,0.009161,0.0917,0.9766,0.003493,279.6,4.155e-36,1.404e-34
370,0.259,0.1058,2.449,0.01211,0.102,0.9769,0.003401,287.2,2.498e-36,9.185e-35
372,0.2578,0.1085,2.376,0.01408,0.1121,0.9771,0.003323,294.1,1.593e-36,6.464e-35
374,0.2596,0.1101,2.357,0.01465,0.1138,0.9773,0.003256,300.1,1.083e-36,4.834e-35
376,0.2636,0.1107,2.382,0.01392,0.1121,0.9775,0.003202,305.3,7.831e-37,4.078e-35
378,0.2693,0.1102,2.443,0.01225,0.1021,0.9776,0.003157,309.6,5.992e-37,3.463e-35
380,0.2762,0.109,2.535,0.0101,0.0946,0.9777,0.003122,313.2,4.819e-37,3.171e-35
382,0.2836,0.107,2.651,0.007876,0.08782,0.9778,0.003094,316,4.058e-37,2.984e-35
384,0.291,0.1044,2.788,0.005866,0.08118,0.9778,0.003074,318.1,3.583e-37,2.984e-35
386,0.297,0.1012,2.936,0.004237,0.06595,0.9779,0.003063,319.3,3.347e-37,2.984e-35
388,0.3,0.09729,3.084,0.003058,0.05096,0.978,0.003064,319.2,3.358e-37,2.984e-35
390,0.2985,0.09316,3.205,0.002333,0.04214,0.9781,0.003079,317.6,3.683e-37,2.984e-35
392,0.2937,0.08941,3.285,0.001948,0.041,0.9782,0.003112,314.4,4.484e-37,3.114e-35
394,0.2884,0.08613,3.348,0.001689,0.03923,0.9784,0.003163,309.3,6.095e-37,3.463e-35
396,0.2853,0.08355,3.415,0.001453,0.03923,0.9785,0.003232,302.7,9.185e-37,4.593e-35
398,0.286,0.08227,3.476,0.001264,0.0386,0.9787,0.003318,295,1.504e-36,6.464e-35
400,0.2899,0.08247,3.516,0.001156,0.0386,0.9789,0.003416,286.6,2.598e-36,9.28e-35
402,0.2957,0.08378,3.53,0.00112,0.0386,0.9792,0.00352,278.2,4.58e-36,1.468e-34
404,0.3021,0.08544,3.536,0.001104,0.0386,0.9794,0.003625,270.2,7.979e-36,2.32e-34
406,0.3087,0.08672,3.56,0.001046,0.0386,0.9797,0.003726,262.9,1.337e-35,3.518e-34
408,0.3157,0.08715,3.623,0.0009054,0.03651,0.9799,0.003818,256.7,2.112e-35,4.475e-34
410,0.3238,0.08654,3.742,0.0006903,0.03082,0.9802,0.003897,251.5,3.104e-35,5.791e-34
412,0.3333,0.08505,3.918,0.0004616,0.02308,0.9805,0.003962,247.5,4.213e-35,7.275e-34
414,0.3437,0.08333,4.125,0.000288,0.01575,0.9808,0.00401,244.6,5.273e-35,8.559e-34
416,0.3541,0.08225,4.306,0.0001906,0.01254,0.9811,0.004042,242.7,6.094e-35,9.185e-34
418,0.3632,0.08232,4.411,0.0001499,0.01102,0.9814,0.004058,241.8,6.537e-35,9.518e-34
420,0.3699,0.0835,4.429,0.000144,0.01102,0.9817,0.004059,241.8,6.549e-35,9.518e-34
422,0.374,0.08548,4.375,0.0001629,0.01131,0.982,0.004048,242.6,6.173e-35,9.185e-34
424,0.3757,0.08799,4.27,0.0002071,0.01294,0.9823,0.004025,244,5.517e-35,8.62e-34
426,0.3751,0.09081,4.13,0.0002845,0.01575,0.9826,0.003993,246.1,4.711e-35,7.852e-34
428,0.3725,0.09382,3.971,0.0004094,0.02132,0.9829,0.003953,248.6,3.871e-35,6.913e-34
430,0.3683,0.09686,3.803,0.0006011,0.02783,0.9832,0.003907,251.6,3.081e-35,5.791e-34
432,0.3628,0.09977,3.636,0.0008792,0.03651,0.9834,0.003856,255,2.388e-35,4.778e-34
434,0.3563,0.1024,3.48,0.001252,0.0386,0.9837,0.003802,258.7,1.812e-35,4.392e-34
436,0.3496,0.1045,3.346,0.001697,0.03923,0.9839,0.003744,262.8,1.351e-35,3.518e-34
438,0.3433,0.1058,3.246,0.002126,0.04161,0.9841,0.003685,267.1,9.916e-36,2.754e-34
440,0.3386,0.1058,3.199,0.00236,0.04214,0.9843,0.003623,271.7,7.171e-36,2.159e-34
442,0.3368,0.1041,3.236,0.002175,0.04161,0.9845,0.003559,276.6,5.102e-36,1.595e-34
444,0.3396,0.1,3.395,0.001521,0.03923,0.9847,0.003493,281.9,3.56e-36,1.236e-34
446,0.3478,0.09388,3.704,0.0007524,0.03243,0.9848,0.003423,287.7,2.424e-36,9.18e-35
448,0.3597,0.08725,4.122,0.0002897,0.01575,0.9849,0.00335,294,1.603e-36,6.464e-35
450,0.3717,0.08209,4.528,0.0001151,0.01028,0.985,0.003273,301,1.027e-36,4.834e-35
452,0.3812,0.07885,4.834,5.766e-05,0.006553,0.985,0.003192,308.6,6.377e-37,3.466e-35
454,0.3876,0.07701,5.033,3.692e-05,0.006553,0.985,0.003109,316.8,3.865e-37,2.984e-35
456,0.3914,0.07606,5.146,2.869e-05,0.006553,0.985,0.003026,325.5,2.321e-37,2.901e-35
458,0.3934,0.07574,5.195,2.579e-05,0.006553,0.9849,0.002948,334.1,1.415e-37,2.141e-35
460,0.3941,0.07587,5.194,2.582e-05,0.006553,0.9849,0.00288,342,9.049e-38,1.665e-35
462,0.394,0.07636,5.16,2.787e-05,0.006553,0.9847,0.002825,348.6,6.307e-38,1.582e-35
464,0.3934,0.07708,5.104,3.15e-05,0.006553,0.9845,0.002789,353,4.974e-38,1.582e-35
466,0.3928,0.07793,5.04,3.638e-05,0.006553,0.9843,0.002776,354.5,4.569e-38,1.582e-35
468,0.3922,0.07885,4.974,4.216e-05,0.006553,0.9841,0.002788,353,4.958e-38,1.582e-35
470,0.3917,0.07977,4.91,4.861e-05,0.006553,0.9838,0.002823,348.5,6.329e-38,1.582e-35
472,0.3912,0.08068,4.848,5.584e-05,0.006553,0.9834,0.00288,341.5,9.326e-38,1.665e-35
474,0.3902,0.08157,4.784,6.451e-05,0.00672,0.983,0.002956,332.6,1.542e-37,2.141e-35
476,0.3865,0.08208,4.709,7.642e-05,0.007348,0.9826,0.003048,322.4,2.775e-37,2.984e-35
478,0.3678,0.08229,4.469,0.0001315,0.01095,0.9821,0.003152,311.6,5.303e-37,3.314e-35
480,0.3429,0.08851,3.874,0.0005104,0.02454,0.9816,0.003266,300.5,1.055e-36,4.834e-35
482,0.3347,0.09315,3.593,0.0009694,0.03787,0.9811,0.00339,289.4,2.156e-36,8.421e-35
484,0.3331,0.09552,3.487,0.001233,0.0386,0.9806,0.003521,278.5,4.488e-36,1.468e-34
486,0.3329,0.09686,3.437,0.001382,0.03923,0.98,0.00366,267.8,9.459e-36,2.687e-34
488,0.3318,0.09743,3.406,0.001483,0.03923,0.9795,0.003806,257.4,2.006e-35,4.475e-34
490,0.3292,0.09733,3.382,0.001565,0.03923,0.9789,0.003957,247.4,4.249e-35,7.275e-34
492,0.3252,0.09678,3.36,0.001643,0.03923,0.9784,0.004112,237.9,8.918e-35,1.225e-33
494,0.3206,0.09604,3.339,0.001726,0.03923,0.9778,0.004269,229,1.838e-34,2.297e-33
496,0.316,0.09533,3.315,0.001822,0.04067,0.9773,0.004426,220.8,3.68e-34,4.144e-33
498,0.3118,0.09479,3.289,0.00193,0.041,0.9768,0.004579,213.3,7.098e-34,7.455e-33
500,0.3084,0.09445,3.265,0.002039,0.04161,0.9763,0.004727,206.6,1.307e-33,1.362e-32
502,0.306,0.09429,3.245,0.002129,0.04161,0.9759,0.004865,200.6,2.286e-33,2.342e-32
504,0.3047,0.09421,3.234,0.002182,0.04161,0.9754,0.004993,195.3,3.777e-33,3.838e-32
506,0.3041,0.0941,3.231,0.002197,0.04161,0.975,0.005109,190.8,5.89e-33,5.938e-32
508,0.303,0.094,3.223,0.002239,0.04177,0.9746,0.005212,187,8.678e-33,8.678e-32
510,0.2999,0.09456,3.171,0.002514,0.04426,0.9741,0.005303,183.7,1.212e-32,1.193e-31
512,0.2951,0.09721,3.036,0.003402,0.05506,0.9737,0.005381,181,1.613e-32,1.576e-31
514,0.2924,0.1021,2.866,0.004948,0.07312,0.9733,0.005449,178.6,2.062e-32,1.998e-31
516,0.2942,0.1072,2.744,0.006455,0.0833,0.9729,0.005508,176.6,2.551e-32,2.453e-31
518,0.2988,0.1116,2.677,0.007449,0.08777,0.9724,0.00556,174.9,3.081e-32,2.94e-31
520,0.304,0.1149,2.645,0.007984,0.08782,0.972,0.005608,173.3,3.659e-32,3.465e-31
522,0.3083,0.1172,2.631,0.008226,0.08782,0.9715,0.005653,171.9,4.301e-32,4.042e-31
524,0.311,0.1184,2.628,0.008291,0.08782,0.9711,0.005697,170.4,5.027e-32,4.689e-31
526,0.3118,0.1186,2.629,0.008261,0.08782,0.9706,0.005741,169.1,5.855e-32,5.421e-31
