t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-452,-0.06301,0.0955,-0.6597,0.7413,0.9881,0.116,0.1186,0.9782,0.1701,0.189
-450,-0.04068,0.09725,-0.4183,0.6598,0.9881,0.1223,0.119,1.028,0.1585,0.1766
-448,-0.01675,0.1004,-0.1669,0.5654,0.9881,0.1278,0.1188,1.075,0.1478,0.1651
-446,0.005913,0.1038,0.05697,0.4776,0.9881,0.1321,0.1179,1.12,0.1384,0.1554
-444,0.02521,0.1063,0.2372,0.4075,0.9881,0.1352,0.1164,1.161,0.1299,0.1468
-442,0.04025,0.107,0.3763,0.3554,0.9881,0.138,0.1143,1.207,0.1212,0.1378
-440,0.05115,0.1056,0.4844,0.3168,0.9881,0.1427,0.1119,1.276,0.1087,0.1246
-438,0.05902,0.1029,0.5733,0.2866,0.9676,0.1523,0.1089,1.4,0.08888,0.1032
-436,0.06516,0.1013,0.6432,0.2639,0.9166,0.1696,0.1059,1.601,0.06298,0.07476
-434,0.06968,0.1028,0.6776,0.2531,0.9065,0.1917,0.1053,1.82,0.04226,0.05154
-432,0.07211,0.1075,0.6707,0.2552,0.9089,0.2106,0.1067,1.973,0.03161,0.03992
-430,0.0725,0.1138,0.6373,0.2658,0.9202,0.2239,0.1079,2.074,0.02594,0.03361
-428,0.0713,0.1199,0.5946,0.2796,0.9496,0.2338,0.1085,2.156,0.02206,0.02943
-426,0.06905,0.1247,0.5537,0.2931,0.9771,0.242,0.1087,2.226,0.01916,0.02618
-424,0.06593,0.1276,0.5167,0.3057,0.9881,0.249,0.1091,2.282,0.01711,0.02361
-422,0.06147,0.1288,0.4772,0.3193,0.9881,0.2547,0.11,2.316,0.01594,0.02219
-420,0.05501,0.129,0.4264,0.3373,0.9881,0.2589,0.1114,2.323,0.01571,0.02189
-418,0.04637,0.1288,0.3601,0.3614,0.9881,0.2614,0.1136,2.301,0.01644,0.02283
-416,0.03597,0.1282,0.2805,0.3911,0.9881,0.2622,0.1163,2.254,0.01811,0.02484
-414,0.02454,0.1272,0.1929,0.4245,0.9881,0.2614,0.1194,2.19,0.02061,0.02798
-412,0.01265,0.1255,0.1008,0.4604,0.9881,0.2593,0.1224,2.118,0.02378,0.03132
-410,0.0003602,0.1229,0.002929,0.4988,0.9881,0.2565,0.1253,2.047,0.02737,0.03509
-408,-0.01264,0.1197,-0.1056,0.5415,0.9881,0.2531,0.1278,1.981,0.03113,0.03934
-406,-0.02654,0.1161,-0.2285,0.5892,0.9881,0.2497,0.1298,1.923,0.03478,0.04335
-404,-0.04092,0.1126,-0.3635,0.6399,0.9881,0.2464,0.1314,1.876,0.03805,0.04714
-402,-0.05471,0.1092,-0.5008,0.6889,0.9881,0.2437,0.1323,1.842,0.04059,0.04989
-400,-0.06676,0.1062,-0.6284,0.7314,0.9881,0.242,0.1327,1.824,0.04197,0.05123
-398,-0.0763,0.1035,-0.7374,0.765,0.9881,0.2417,0.1323,1.827,0.04171,0.05096
-396,-0.08316,0.1009,-0.8244,0.79,0.9881,0.243,0.1311,1.853,0.03971,0.04895
-394,-0.08767,0.09848,-0.8902,0.8078,0.9881,0.2453,0.1294,1.896,0.03662,0.0455
-392,-0.09039,0.09642,-0.9375,0.8199,0.9881,0.2477,0.1274,1.944,0.0334,0.04191
-390,-0.09199,0.09492,-0.9691,0.8277,0.9881,0.2491,0.1253,1.988,0.03071,0.03885
-388,-0.09315,0.09439,-0.9868,0.8319,0.9881,0.249,0.1232,2.021,0.02877,0.03674
-386,-0.09463,0.09554,-0.9905,0.8328,0.9881,0.2473,0.121,2.043,0.02757,0.03531
-384,-0.09703,0.09944,-0.9757,0.8293,0.9881,0.2441,0.1188,2.055,0.02695,0.03466
-382,-0.09883,0.1061,-0.9317,0.8184,0.9881,0.2399,0.1163,2.062,0.02656,0.03429
-380,-0.09674,0.1122,-0.8623,0.8003,0.9881,0.2366,0.1131,2.092,0.02503,0.03262
-378,-0.09282,0.1156,-0.8032,0.7841,0.9881,0.2445,0.1076,2.272,0.01745,0.02404
-376,-0.09097,0.1172,-0.7764,0.7765,0.9881,0.2616,0.1054,2.483,0.01127,0.01628
-374,-0.09179,0.1182,-0.7764,0.7765,0.9881,0.2547,0.1037,2.456,0.01192,0.01709
-372,-0.09422,0.1191,-0.791,0.7806,0.9881,0.243,0.1018,2.388,0.01375,0.01933
-370,-0.09726,0.1197,-0.8125,0.7867,0.9881,0.2302,0.1003,2.295,0.01665,0.02306
-368,-0.1011,0.1198,-0.8432,0.7952,0.9881,0.2168,0.09929,2.183,0.02088,0.02825
-366,-0.1069,0.1196,-0.8935,0.8086,0.9881,0.2028,0.09852,2.059,0.02674,0.03445
-364,-0.1165,0.1194,-0.976,0.8293,0.9881,0.1882,0.09781,1.924,0.03473,0.04332
-362,-0.1314,0.1196,-1.099,0.8573,0.9881,0.1726,0.09722,1.776,0.0459,0.05582
-360,-0.1514,0.1206,-1.256,0.8878,0.9881,0.1567,0.09706,1.614,0.06151,0.07329
-358,-0.1725,0.1217,-1.417,0.9137,0.9881,0.1416,0.09753,1.452,0.08139,0.09508
-356,-0.1895,0.1216,-1.559,0.9322,0.9881,0.1289,0.09842,1.31,0.1029,0.1182
-354,-0.2015,0.1202,-1.676,0.9449,0.9881,0.1195,0.09927,1.204,0.1218,0.1384
-352,-0.2101,0.1186,-1.771,0.9537,0.9881,0.1141,0.09953,1.147,0.1329,0.1498
-350,-0.2172,0.1174,-1.849,0.96,0.9881,0.1138,0.09861,1.154,0.1313,0.1482
-348,-0.2241,0.1171,-1.914,0.9646,0.9881,0.119,0.09655,1.232,0.1165,0.133
-346,-0.2308,0.1179,-1.958,0.9675,0.9881,0.1281,0.09429,1.358,0.09517,0.1097
-344,-0.2358,0.1199,-1.966,0.968,0.9881,0.1392,0.09281,1.499,0.07511,0.08832
-342,-0.2362,0.1225,-1.928,0.9655,0.9881,0.1512,0.0924,1.636,0.0591,0.0705
-340,-0.2312,0.1247,-1.854,0.9603,0.9881,0.1638,0.093,1.761,0.04719,0.05715
-338,-0.222,0.1263,-1.758,0.9526,0.9881,0.176,0.09437,1.865,0.03882,0.04791
-336,-0.2102,0.1274,-1.65,0.9423,0.9881,0.1868,0.09599,1.946,0.03328,0.04181
-334,-0.1976,0.1282,-1.541,0.9301,0.9881,0.1952,0.09727,2.006,0.02963,0.03764
-332,-0.1894,0.1272,-1.489,0.9236,0.9881,0.2009,0.09794,2.052,0.02712,0.03484
-330,-0.1912,0.1221,-1.565,0.933,0.9881,0.2047,0.09807,2.087,0.02528,0.03285
-328,-0.1956,0.1164,-1.68,0.9454,0.9881,0.2071,0.09787,2.116,0.02389,0.03138
-326,-0.1961,0.1119,-1.753,0.9521,0.9881,0.2085,0.0975,2.138,0.02284,0.03025
-324,-0.1925,0.1083,-1.777,0.9542,0.9881,0.2091,0.09707,2.155,0.02212,0.02948
-322,-0.1861,0.1054,-1.765,0.9532,0.9881,0.2091,0.09668,2.163,0.02175,0.02922
-320,-0.1783,0.1033,-1.727,0.9498,0.9881,0.2084,0.09642,2.161,0.02183,0.02924
-318,-0.1709,0.102,-1.676,0.9449,0.9881,0.2065,0.09632,2.144,0.0226,0.03002
-316,-0.1645,0.1015,-1.62,0.9391,0.9881,0.2022,0.09639,2.098,0.02476,0.03231
-314,-0.1497,0.09908,-1.511,0.9264,0.9881,0.1943,0.09669,2.01,0.02944,0.03748
-312,-0.1106,0.09787,-1.13,0.8637,0.9881,0.1846,0.09739,1.895,0.0367,0.04555
-310,-0.09732,0.1015,-0.9591,0.8252,0.9881,0.1745,0.09841,1.774,0.04608,0.05598
-308,-0.09728,0.1046,-0.9304,0.8181,0.9881,0.1639,0.09969,1.644,0.05827,0.06957
-306,-0.1064,0.1091,-0.9756,0.8292,0.9881,0.1525,0.1012,1.506,0.07425,0.08739
-304,-0.1159,0.1148,-1.009,0.8373,0.9881,0.1403,0.103,1.363,0.09444,0.1091
