subject,window,t_ms,model0,model2B,model3
6,4,-165,-128.117,-127.969,-128.359
6,5,-135,-130.822,-131.06,-130.859
6,6,-105,-131.362,-131.587,-131.707
6,7,-75,-123.01,-123.169,-123.774
6,8,-45,-123.53,-123.504,-123.906
6,9,-15,-136.003,-136.049,-136.747
6,10,15,-151.583,-151.799,-151.004
6,11,45,-162.636,-162.506,-162.57
6,12,75,-174.31,-174.192,-173.962
6,13,105,-162.461,-162.411,-162.389
6,14,135,-159.49,-159.55,-159.738
6,15,165,-181.242,-181.341,-181.393
6,16,195,-218.107,-214.005,-214.086
6,17,225,-243.453,-236.066,-236.606
6,18,255,-260.269,-250.781,-250.912
6,19,285,-280.586,-266.853,-266.835
6,20,315,-301.685,-286.719,-287.018
6,21,345,-285.654,-275.079,-275.205
6,22,375,-257.661,-251.754,-251.467
6,23,405,-259.049,-252.273,-252.387
6,24,435,-271.371,-260.094,-260.952
6,25,465,-271.117,-262.368,-262.606
6,26,495,-248.157,-244.114,-243.709
6,27,525,-224.604,-221.252,-221.284
6,28,555,-217.838,-215.567,-215.563
6,29,585,-221.219,-219.376,-219.607
6,30,615,-223.983,-221.705,-221.031
6,31,645,-221.795,-218.75,-219.433
6,32,675,-222.029,-220.399,-220.494
6,33,705,-212.531,-211.46,-212.117
6,34,735,-204.845,-203.825,-203.728
6,35,765,-196.026,-195.414,-195.752
6,36,795,-178.218,-178.291,-178.581
6,37,825,-171.29,-171.592,-171.791
6,38,855,-175.247,-175.342,-175.856
6,39,885,-173.793,-173.678,-174.336
6,40,915,-172.616,-172.898,-172.6
6,41,945,-175.763,-175.893,-175.812
6,42,975,-173.086,-173.281,-173.671
6,43,1005,-181.444,-182.188,-182.059
6,44,1035,-195.198,-195.27,-194.912
6,45,1065,-194.36,-194.023,-193.847
6,46,1095,-197.295,-198.289,-196.951
6,47,1125,-197.683,-198.637,-198.122
6,48,1155,-180.927,-181.231,-181.192
6,49,1185,-176.656,-177.346,-177.092
6,50,1215,-199.244,-198.56,-198.514
6,51,1245,-196.084,-195.479,-195.003
6,52,1275,-169.392,-169.877,-169.668
7,0,-285,-140.849,-141.378,-141.487
7,1,-255,-137.35,-137.804,-138.194
7,2,-225,-143.794,-144.109,-144.71
7,3,-195,-147.637,-148.434,-147.738
7,4,-165,-154.152,-154.682,-154.804
7,5,-135,-170.952,-171.661,-171.408
7,6,-105,-161.842,-161.953,-162.184
7,7,-75,-143.697,-143.524,-144.865
7,8,-45,-152.984,-154.021,-153.668
7,9,-15,-166.421,-166.775,-166.814
7,10,15,-160.631,-160.458,-161.119
7,11,45,-167.979,-168.196,-168.523
7,12,75,-201.054,-201.505,-201.461
7,13,105,-208.16,-208.988,-208.488
7,14,135,-200.164,-200.842,-200.577
7,15,165,-255.226,-251.775,-250.621
7,16,195,-328.149,-320.48,-320.142
7,17,225,-339.613,-331.072,-331.227
7,18,255,-296.851,-290.769,-290.638
7,19,285,-267.392,-264.174,-264.406
7,20,315,-273.755,-270.062,-269.811
7,21,345,-287.216,-279.655,-279.824
7,22,375,-314.948,-303.525,-304.866
7,23,405,-338.169,-321.646,-322.303
7,24,435,-353.926,-336.134,-335.025
7,25,465,-361.178,-341.608,-341.269
7,26,495,-360.63,-342.809,-342.794
7,27,525,-351.217,-335.745,-335.345
7,28,555,-338.478,-324.303,-324.07
7,29,585,-332.884,-320.041,-319.647
7,30,615,-329.617,-317.153,-317.13
7,31,645,-331.955,-319.305,-319.404
7,32,675,-333.447,-319.967,-319.442
7,33,705,-332.579,-316.996,-316.346
7,34,735,-334.095,-319.156,-318.715
7,35,765,-326.833,-314.499,-314.508
7,36,795,-309.913,-301.807,-301.593
7,37,825,-283.061,-277.809,-278.346
7,38,855,-269.65,-266.506,-266.794
7,39,885,-260.059,-257.556,-258.328
7,40,915,-254.261,-252.11,-252.987
7,41,945,-239.535,-239.094,-239.532
7,42,975,-214.082,-214.813,-214.371
7,43,1005,-207.431,-207.875,-207.95
7,44,1035,-206.496,-207.161,-207.037
7,45,1065,-193.21,-193.325,-194.025
7,46,1095,-188.351,-188.482,-189.21
7,47,1125,-206.434,-207.149,-207.099
7,48,1155,-210.786,-211.854,-211.223
7,49,1185,-204.516,-205.216,-205.236
7,50,1215,-212.949,-213.951,-213.687
7,51,1245,-210.189,-210.749,-210.649
7,52,1275,-209.28,-209.926,-209.594
8,0,-285,-106.957,-107.859,-107.388
8,1,-255,-104.743,-104.983,-105.282
8,2,-225,-97.0551,-97.7061,-97.0494
8,3,-195,-104.883,-106.469,-105.179
8,4,-165,-114.291,-114.555,-115.026
8,5,-135,-117.434,-117.134,-116.809
8,6,-105,-121.464,-121.691,-121.734
8,7,-75,-118.46,-118.549,-118.227
8,8,-45,-130.532,-130.949,-130.637
8,9,-15,-140.767,-140.975,-141.323
8,10,15,-150.736,-150.834,-150.815
8,11,45,-157.126,-157.249,-157.208
8,12,75,-155.133,-155.555,-155.092
8,13,105,-159.064,-157.985,-158.645
8,14,135,-195.829,-193.996,-194.491
8,15,165,-249.472,-243.315,-243.748
8,16,195,-290.766,-276.891,-277.414
8,17,225,-314.569,-297.047,-297.41
8,18,255,-319.136,-301.362,-302.084
8,19,285,-304.313,-287.209,-287.544
8,20,315,-302.279,-285.86,-286.239
8,21,345,-317.086,-302.512,-302.668
8,22,375,-323.093,-306.86,-306.864
8,23,405,-305.374,-293.421,-293.528
8,24,435,-281.331,-275.659,-275.193
8,25,465,-305.811,-291.877,-291.239
8,26,495,-333.204,-311.683,-311.456
8,27,525,-320.961,-302.569,-302.294
8,28,555,-291.754,-283.244,-284.142
8,29,585,-271.584,-265.172,-265.476
8,30,615,-254.57,-248.117,-247.994
8,31,645,-234.961,-231.253,-231.085
8,32,675,-229.014,-226.678,-226.467
8,33,705,-238.462,-235.009,-235.099
8,34,735,-248.76,-243.468,-244.425
8,35,765,-252.01,-246.496,-246.988
8,36,795,-254.47,-249.826,-249.583
8,37,825,-250.44,-244.891,-244.994
8,38,855,-251.493,-245.497,-245.429
8,39,885,-244.678,-239.607,-239.71
8,40,915,-231.54,-227.901,-229.252
8,41,945,-219.081,-217.381,-217.155
8,42,975,-214.871,-214.189,-214.111
8,43,1005,-189.295,-188.381,-188.515
8,44,1035,-181.846,-181.424,-181.33
8,45,1065,-200.955,-200.808,-199.817
8,46,1095,-194.589,-194.152,-194.147
8,47,1125,-183.825,-185.06,-185.073
8,48,1155,-183.119,-183.639,-182.589
8,49,1185,-174.229,-174.336,-174.602
8,50,1215,-152.399,-153.01,-152.28
8,51,1245,-130.68,-130.69,-131.667
8,52,1275,-134.852,-135.023,-134.081
9,0,-285,-125.297,-125.745,-126.472
9,1,-255,-139.39,-140.283,-139.567
9,2,-225,-139.87,-140.356,-140.172
9,3,-195,-126.243,-126.319,-126.526
9,4,-165,-123.45,-123.617,-124.678
9,5,-135,-167.788,-172.132,-167.784
9,6,-105,-181.078,-182.933,-182.094
9,7,-75,-146.793,-147.284,-147.203
9,8,-45,-137.074,-137.2,-137.557
9,9,-15,-169.134,-169.845,-170.283
9,10,15,-186.494,-186.176,-186.501
9,11,45,-177.547,-178.026,-177.828
9,12,75,-179.653,-179.804,-180.179
9,13,105,-189.215,-189.252,-189.407
9,14,135,-166.729,-165.876,-165.906
9,15,165,-184.528,-184.726,-185.734
9,16,195,-204.147,-201.992,-201.745
9,17,225,-215.495,-212.057,-213.443
9,18,255,-233.786,-228.338,-228.2
9,19,285,-270.938,-260.077,-260.236
9,20,315,-299.088,-283.292,-282.762
9,21,345,-316.092,-299.681,-299.365
9,22,375,-331.668,-309.943,-309.507
9,23,405,-344.663,-318.48,-318.055
9,24,435,-325.458,-304.983,-303.728
9,25,465,-297.687,-284.018,-284.713
9,26,495,-308.844,-295.267,-295.458
9,27,525,-320.651,-308.013,-307.373
9,28,555,-289.891,-282.101,-281.125
9,29,585,-256.997,-254.373,-254.431
9,30,615,-262.691,-256.959,-257.252
9,31,645,-270.834,-265.005,-263.468
9,32,675,-260.479,-256.486,-256.25
9,33,705,-246.104,-242.624,-242.353
9,34,735,-257.066,-253.391,-252.945
9,35,765,-259.604,-255.914,-256.406
9,36,795,-235.069,-233.691,-235.15
9,37,825,-228.124,-227.179,-227.421
9,38,855,-238.773,-237.071,-236.862
9,39,885,-227.895,-226.064,-225.876
9,40,915,-220.092,-219.28,-219.237
9,41,945,-229.013,-228.987,-229.73
9,42,975,-210.756,-210.457,-210.164
9,43,1005,-191.484,-191.693,-191.473
9,44,1035,-213.903,-214.172,-213.515
9,45,1065,-214.142,-214.213,-213.362
9,46,1095,-210.467,-210.565,-210.912
9,47,1125,-203.654,-203.101,-203.206
9,48,1155,-203.639,-203.579,-203.377
9,49,1185,-203.89,-204.062,-204.18
9,50,1215,-193.433,-193.567,-194.116
9,51,1245,-189.835,-189.861,-190.066
9,52,1275,-189.978,-189.936,-190.528
10,0,-285,-122.628,-122.628,-122.218
10,1,-255,-118.538,-118.661,-119.15
10,2,-225,-120.078,-120.249,-120.16
10,3,-195,-119.329,-119.333,-119.638
10,4,-165,-110.866,-110.435,-111.14
10,5,-135,-121.093,-120.808,-121.017
10,6,-105,-135.697,-135.866,-136.3
10,7,-75,-120.088,-119.963,-119.704
10,8,-45,-111.968,-112.391,-112.639
10,9,-15,-145.276,-145.295,-145.912
10,10,15,-142.115,-141.993,-142.019
10,11,45,-133.348,-133.724,-133.663
10,12,75,-133.933,-134.505,-133.865
10,13,105,-156.432,-156.848,-155.804
10,14,135,-168.221,-168.778,-166.782
10,15,165,-179.018,-179.302,-177.967
10,16,195,-223.023,-219.958,-220.277
10,17,225,-244.25,-237.443,-237.934
10,18,255,-260.306,-251.199,-251.257
10,19,285,-300.628,-283.318,-283.773
10,20,315,-356.181,-328.209,-328.649
10,21,345,-391.231,-359.242,-359.508
10,22,375,-413.3,-380.279,-379.339
10,23,405,-441.229,-405.589,-404.671
10,24,435,-450.243,-414.492,-412.026
10,25,465,-415.503,-386.357,-384.348
10,26,495,-366.9,-348.508,-348.863
10,27,525,-346.802,-332.954,-332.906
10,28,555,-328.882,-316.704,-316.335
10,29,585,-291.221,-285.48,-284.671
10,30,615,-253.052,-250.122,-249.232
10,31,645,-237.84,-233.934,-232.974
10,32,675,-226.197,-220.961,-220.424
10,33,705,-232.046,-230.285,-229.657
10,34,735,-224.952,-222.965,-224.396
10,35,765,-198.325,-197.511,-196.757
10,36,795,-179.853,-178.859,-180.464
10,37,825,-192.342,-191.705,-192.023
10,38,855,-186.208,-186.409,-185.921
10,39,885,-169.747,-169.78,-169.632
10,40,915,-180.027,-180.028,-179.909
10,41,945,-177.963,-177.856,-178.195
10,42,975,-173.757,-174.09,-174.15
10,43,1005,-162.481,-162.554,-161.982
10,44,1035,-160.585,-160.547,-160.258
10,45,1065,-164.794,-164.919,-165.062
10,46,1095,-160.199,-160.233,-160.202
10,47,1125,-159.866,-159.565,-159.617
10,48,1155,-161.104,-161.161,-161.171
