level1,level2,level3,level4,level5,level6,level7
-0.99297,-0.51312,-0.58707,-0.4908,-1.77,2.0971,0.014444
-1.4933,-0.73919,-0.80046,-0.64725,-0.17005,-0.16809,1.1514
0.14286,1.6269,-0.69715,-0.044697,0.53854,-0.20092,0.85528
-1.1696,-0.52864,-0.057798,0.91975,-0.085472,0.81012,0.096275
-0.79936,-0.43991,-0.69046,0.43385,0.27448,0.83819,0.40102
-1.2072,-0.72445,0.20919,0.29666,0.90809,1.0592,0.61187
0.25138,-2.0807,-0.68725,0.7497,-1.6251,-0.26666,0.85548
0.22675,0.53626,-1.6147,-0.37378,0.60704,1.0651,0.4807
-0.83677,-0.91935,-2.3291,-0.5255,-0.040455,-0.92554,0.42051
-1.3429,-1.1359,0.30741,-0.12273,-0.52098,-0.74959,-0.10018
-1.0989,-1.1486,-1.4079,-1.6416,-0.31399,0.041643,0.58732
-0.34134,-1.1895,0.38466,-0.85005,-0.013903,-0.31976,-0.23547
0.50984,-1.3662,-0.97631,-0.96142,-2.1363,0.69178,0.018232
-1.1015,1.0331,-1.0421,-0.48083,-1.2405,0.57426,-1.2559
-0.92311,-0.12767,-0.63298,0.69213,0.66356,-1.5953,-0.22417
0.1454,0.35959,-0.31857,-0.35314,-0.0010114,-1.3867,-0.95035
-0.41969,-0.18935,-1.9819,0.12376,1.3611,-0.13851,0.38446
0.1673,-0.30129,0.93076,-0.030523,1.9552,0.7624,1.4389
-1.5926,0.11952,-1.7251,-0.82301,1.5706,-0.85165,-0.36433
-0.92127,-0.26932,-0.68045,-1.3069,0.1429,-0.55417,-0.030128
-0.64285,-0.43086,-0.60262,-2.4016,-0.47986,2.7559,2.1938
-0.90346,-0.63435,0.31506,0.23587,0.6812,0.95575,0.26515
-1.2309,-0.8972,0.31219,-1.4292,-1.0006,-1.0593,-0.73283
0.12732,1.0793,0.54554,-0.63105,0.47502,0.24215,1.437
0.31142,-0.19432,-1.1799,-0.99941,-0.77503,0.71194,-0.15212
,-0.088022,0.34156,0.18597,-1.1068,0.62827,
,0.11849,,0.14831,-0.66669,-1.1245,
,-1.1471,,-1.4921,-0.7906,2.3059,
,0.99026,,,0.79145,0.13016,
,-0.71007,,,,0.25276,
,-0.29689,,,,-0.9212,
