generator,grid,rep,seed,size,member,n_starts_pipeline,n_starts_strong,n_train_concepts,n_test_concepts,pipeline_loglik,strong_loglik,gap,miss,pipeline_converged,pipeline_n_converged,strong_n_converged,starts_at_best,pipeline_heldout,strong_heldout,n_heldout_trials,seconds_pipeline,seconds_strong,pipeline_source,strong_source,strong_batch,challenge_is_skew,n_archived,pipeline_theta,strong_theta
M2S,"{""omega"": 1.0}",3,500003,outer,M3V,8,88,52,12,-16532.179874356043,-15120.142011442655,1412.0378629133884,1,1,8,88,13,-4261.438379489029,-3937.359508074968,2016,1.3,13.3,cold,challenge,challenge,0,88,"[-0.680223, -15.638164, 0.479551, 1.36962, 1.974039, 3.180454, -0.085371, 0.804328]","[-0.834629, -19.845057, 0.61066, 0.025804, 1.918466, 3.119432, 0.929785, -1.158514]"
M2S,"{""omega"": 1.0}",4,500004,inner,M2B,4,84,38,14,-12948.477695402617,-12948.477695402566,5.093170329928398e-11,0,1,4,84,83,-4833.399844908392,-4833.399848254926,2352,0.1,2.6,cold,extra,extra,0,84,"[3.103614, 2.130166, 1.899912, 0.325726, 1.847642, 1.006108]","[3.103614, 2.130166, 1.899912, 0.325726, 1.847642, 1.006108]"
M2S,"{""omega"": 1.0}",4,500004,inner,M2H,4,84,38,14,-9887.86022623746,-9865.37967930307,22.480546934390077,1,1,3,35,1,-4230.037801075798,-4221.859240644145,2352,85.3,1817.6,cold,extra,extra,0,84,"[4.103427, 0.668193, 2.929206, 1.269835, 1.368719, 1.442775, 0.875002]","[4.563917, 0.57256, 3.232129, 1.30717, 1.383347, 1.386699, 1.540572]"
M2S,"{""omega"": 1.0}",4,500004,inner,M2K,4,84,38,14,-12837.900273498057,-12837.90027348073,1.7325874068774283e-08,0,1,4,84,78,-4792.327144992246,-4792.327136088412,2352,0.4,11.1,cold,extra,extra,1,84,"[3.101035, 2.08286, 1.74585, 0.34709, 2.643717, -0.301455, 0.805749, -0.194425]","[3.101034, 2.082857, 1.745858, 0.347084, 2.643711, -0.301453, 0.80575, -0.194425]"
M2S,"{""omega"": 1.0}",4,500004,inner,M2S,4,84,38,14,-6359.286206477961,-6359.286206477654,3.0740920919924974e-10,0,1,4,84,83,-3449.471308488353,-3449.4713057190884,2352,24.6,518.4,cold,extra,extra,0,84,"[3.006333, 1.515323, 2.010796, 0.137854, 0.653923, 0.988858, 0.068387]","[3.006333, 1.515323, 2.010796, 0.137854, 0.653924, 0.988858, 0.068387]"
M2S,"{""omega"": 1.0}",4,500004,inner,M3,4,84,38,14,-13056.384544880808,-13056.375101863374,0.009443017434023204,0,1,4,84,84,-4869.901678827795,-4869.89375978342,2352,5.7,113.6,cold,challenge,challenge,0,84,"[-28.530448, 0.094348, -1.134935, -18614.44968, 18616.083889, 0.29977, 1.835821]","[-29.471284, 0.091762, -1.133694, -24808.475024, 24810.108986, 0.299937, 1.835791]"
M2S,"{""omega"": 1.0}",4,500004,inner,M3H,4,84,38,14,-13067.70772942717,-13067.707728445455,9.817140380619094e-07,0,1,4,84,84,-4869.233949109013,-4869.233222215855,2352,123.4,2348.0,cold,extra,extra,0,84,"[-0.912267, -17.21091, 0.738341, 0.796881, 1.562858, 2.564212, 0.596125, -0.974511]","[-0.912265, -26.301835, 0.738336, 0.796863, 1.562924, 2.564158, 0.596127, -0.974499]"
M2S,"{""omega"": 1.0}",4,500004,inner,M3L,4,84,38,14,-13070.639655783227,-13070.639655072178,7.110484148142859e-07,0,1,4,84,84,-4874.397900646594,-4874.397742667102,2352,0.8,15.2,cold,extra,extra,0,84,"[-0.903625, -16.827256, 0.697681, 0.996013, 1.626487, 2.538414, 0.605341, -3.562063]","[-0.903629, -18.550181, 0.697671, 0.996058, 1.626437, 2.538367, 0.605342, -3.653621]"
M2S,"{""omega"": 1.0}",4,500004,inner,M3V,4,84,38,14,-12342.671081401078,-11036.312462891668,1306.35861850941,1,1,4,84,18,-4793.110428252214,-4646.155060084235,2352,0.5,10.8,cold,extra,extra,0,84,"[-0.053235, 0.413731, -3.912377, 0.149073, 4.417884, 22.141386, 0.254186, 1.82226]","[-0.861348, -20.28675, 0.620324, 0.024445, 1.890587, 3.127958, 1.022118, -1.375128]"
M2S,"{""omega"": 1.0}",4,500004,outer,M2B,8,88,52,12,-17779.96504272303,-17779.96504272287,1.6007106751203537e-10,0,1,8,88,87,-3618.214825121128,-3618.214759806157,2016,0.3,3.4,cold,extra,extra,0,88,"[3.03064, 1.952084, 1.899844, 0.331844, 1.863725, 0.975211]","[3.030639, 1.952085, 1.899844, 0.331844, 1.863725, 0.97521]"
M2S,"{""omega"": 1.0}",4,500004,outer,M2H,8,88,52,12,-14108.833284758433,-14084.720606505009,24.112678253424747,1,1,4,42,1,-2809.721257527347,-2775.6944195051096,2016,237.5,2412.4,cold,challenge,challenge,0,88,"[4.500683, 0.603887, 2.60365, 1.620699, 1.695723, 1.023454, 0.975983]","[4.197666, -0.569885, -3.057486, 1.391189, 1.485153, 1.260228, 1.18274]"
M2S,"{""omega"": 1.0}",4,500004,outer,M2K,8,88,52,12,-17628.036479960567,-17628.036479960567,0.0,0,1,8,88,82,-3598.009019788403,-3598.009019788403,2016,1.4,17.9,cold,cold,cold:pipeline,1,88,"[3.036995, 1.921665, 1.728105, 0.360375, 2.711033, -0.377791, 0.819358, -0.203023]","[3.036995, 1.921665, 1.728105, 0.360375, 2.711033, -0.377791, 0.819358, -0.203023]"
M2S,"{""omega"": 1.0}",4,500004,outer,M2S,8,88,52,12,-9807.993958114996,-9807.993958114956,4.001776687800884e-11,0,1,8,88,88,-1509.5207005283896,-1509.5207079901988,2016,69.3,711.6,cold,challenge,challenge,0,88,"[3.003612, 1.515567, 2.013473, 0.152017, 0.741786, 0.98927, 0.023475]","[3.003612, 1.515567, 2.013472, 0.152017, 0.741787, 0.98927, 0.023475]"
M2S,"{""omega"": 1.0}",4,500004,outer,M3,8,88,52,12,-17924.90167970369,-17924.890024720957,0.01165498273257981,0,1,8,88,86,-3643.6291278516796,-3643.6230171721304,2016,15.3,156.7,cold,extra,extra,0,88,"[-29.683154, 0.084942, -1.144047, -21577.204632, 21578.85075, 0.293481, 1.843962]","[-30.378069, 0.083327, -1.143945, -26441.012647, 26442.658437, 0.293464, 1.843995]"
M2S,"{""omega"": 1.0}",4,500004,outer,M3H,8,88,52,12,-17934.236183647074,-17934.23618326901,3.780623956117779e-07,0,1,8,88,88,-3651.380802246331,-3651.378144383769,2016,380.1,3546.6,cold,extra,extra,0,88,"[-0.910689, -17.292668, 0.762092, 0.621771, 1.671001, 2.58446, 0.593575, -0.649123]","[-0.910695, -18.043862, 0.762094, 0.621776, 1.671069, 2.584447, 0.593571, -0.649087]"
M2S,"{""omega"": 1.0}",4,500004,outer,M3L,8,88,52,12,-17944.069702877016,-17944.069702698045,1.7897036741487682e-07,0,1,8,88,88,-3653.6761285560096,-3653.677000578291,2016,2.2,21.9,cold,extra,extra,0,88,"[-0.908164, -17.1763, 0.690603, 0.921441, 1.673252, 2.504796, 0.611026, -4.007936]","[-0.908151, -17.35209, 0.690599, 0.921459, 1.673284, 2.50484, 0.611027, -3.926042]"
